"id"	"geneNum"	"description"	"definition"	"gene"
"GO:0000275"	1	"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)"	"The catalytic sector of the mitochondrial hydrogen-transporting ATP synthase; it comprises the catalytic core and central stalk, and is peripherally associated with the mitochondrial inner membrane when the entire ATP synthase is assembled."	"ATP5F1E"
"GO:0000276"	10	"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"	"All non-F1 subunits of the mitochondrial hydrogen-transporting ATP synthase, including integral and peripheral mitochondrial inner membrane proteins."	"A0A5F4CQ02,A0A5F4CUH6,A0A5F4D296,A0A5F4DFX8,ATP5ME,ATP5MG,ATP5PF,F1PAS4,LOC100682783,MT-ATP8"
"GO:0000307"	4	"cyclin-dependent protein kinase holoenzyme complex"	"Cyclin-dependent protein kinases (CDKs) are enzyme complexes that contain a kinase catalytic subunit associated with a regulatory cyclin partner."	"CCND1,CCND3,CDK6,PCNA"
"GO:0000308"	2	"cytoplasmic cyclin-dependent protein kinase holoenzyme complex"	"Cyclin-dependent protein kinase (CDK) complex found in the cytoplasm."	"CCNY,CDK14"
"GO:0000322"	2	"storage vacuole"	"A vacuole that functions primarily in the storage of materials, including nutrients, pigments, waste products, and small molecules."	"ARHGEF7,STX4"
"GO:0000333"	1	"telomerase catalytic core complex"	"The minimal catalytic core of telomerase is a ribonucleoprotein complex composed of a catalytic reverse transcriptase subunit and an RNA subunit that provides the template for telomeric DNA addition."	"TERT"
"GO:0000346"	3	"transcription export complex"	"The transcription export (TREX) complex couples transcription elongation by RNA polymerase II to mRNA export. The complex associates with the polymerase and travels with it along the length of the transcribed gene. TREX is composed of the THO transcription elongation complex as well as other proteins that couple THO to mRNA export proteins. The TREX complex is known to be found in a wide range of eukaryotes, including S. cerevisiae and metazoans."	"CHTOP,DDX39B,NXF1"
"GO:0000407"	9	"phagophore assembly site"	"Punctate structures proximal to the endoplasmic reticulum which are the sites where the Atg machinery assembles upon autophagy induction."	"ATG7,BCAS3,C5H16orf70,NBR1,SQSTM1,STX12,VMP1,WDR45,ZFYVE1"
"GO:0000408"	1	"EKC/KEOPS complex"	"A protein complex involved in t6A tRNA modification; originally proposed to be involved in transcription as well as promoting telomere uncapping and telomere elongation. For example, in Saccharomyces cerevisiae the complex contains Bud32p, Kae1p, Gon7p, Cgi121p, and Pcc1p."	"OSGEP"
"GO:0000421"	12	"autophagosome membrane"	"The lipid bilayer surrounding an autophagosome, a double-membrane-bounded vesicle in which endogenous cellular material is sequestered."	"ATG16L1,ATG9A,ATG9B,ATP6AP2,PRKD1,RAB7A,SH3GLB1,STING1,TEX264,UVRAG,WDR81,WIPI1"
"GO:0000438"	2	"core TFIIH complex portion of holo TFIIH complex"	"The core TFIIH complex when it is part of the general transcription factor TFIIH."	"GTF2H3,GTF2H4"
"GO:0000439"	6	"transcription factor TFIIH core complex"	"The 7 subunit core of TFIIH that is a part of either the general transcription factor holo-TFIIH or the nucleotide-excision repair factor 3 complex. In S. cerevisiae/humans the complex is composed of: Ssl2/XPB, Tfb1/p62, Tfb2/p52, Ssl1/p44, Tfb4/p34, Tfb5/p8 and Rad3/XPD."	"CCNH,CDK7,ERCC2,ERCC3,GTF2H2,MNAT1"
"GO:0000444"	1	"MIS12/MIND type complex"	"A multiprotein kinetochore subcomplex that binds to centromeric chromatin and forms part of the inner kinetochore. It helps to recruit outer kinetochore subunits that will bind to microtubules. In humans, it consists of MIS12, DSN1, NSL1 and PMF1."	"NSL1"
"GO:0000445"	1	"THO complex part of transcription export complex"	"The THO complex when it is part of the TREX (TRanscription EXport) complex that is involved in coupling transcription to export of mRNAs to the cytoplasm. In S. cerevisiae, it is composed of four subunits: Hpr1, Tho2, Thp1, and Mft1, while the human complex is composed of 7 subunits."	"THOC2"
"GO:0000502"	10	"proteasome complex"	"A large multisubunit complex which catalyzes protein degradation, found in eukaryotes, archaea and some bacteria. In eukaryotes, this complex consists of the barrel shaped proteasome core complex and one or two associated proteins or complexes that act in regulating entry into or exit from the core."	"A0A5F4CPM5,ADRM1,PAAF1,RAD23A,RAD23B,UBE3A,UBR1,USP14,VCP,ZFAND2B"
"GO:0000506"	2	"glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex"	"An enzyme complex that catalyzes the transfer of GlcNAc from UDP-GlcNAc to an acceptor phosphatidylinositol, the first step in the production of GPI anchors for cell surface proteins. The complex contains PIG-A, PIG-C, PIG-H, PIG-Q, PIG-P, and DPM2 in human, and Eri1p, Gpi1p, Gpi2p, Gpi15p, Gpi19p, and Spt14p in budding yeast."	"ASB11,DPM2"
"GO:0000775"	22	"chromosome, centromeric region"	"The region of a chromosome that includes the centromeric DNA and associated proteins. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome."	"BIRC5,CBX3,CENPK,CENPL,CENPP,CENPU,CTCF,DAXX,DNMT3A,FMR1,PKHD1,PPP2CA,PPP2R1A,PPP2R5C,RAD21,SMC1B,SMC3,SMC4,SMC6,SUV39H1,SUV39H2,ZNF330"
"GO:0000776"	60	"kinetochore"	"A multisubunit complex that is located at the centromeric region of DNA and provides an attachment point for the spindle microtubules."	"A0A5F4CBJ6,AHCTF1,APC,AURKB,BIRC5,BUB1,CBX5,CDT1,CENPA,CENPE,CENPI,CENPO,CENPT,CENPV,CFDP1,CKAP5,CLASP1,CLASP2,DYNC1I1,DYNC1LI1,DYNLL1,DYNLT3,FBXO28,HJURP,HSF1,INCENP,KAT2B,KAT8,KIF18A,KIF2C,LRWD1,MEAF6,MTBP,NDE1,NDEL1,NEK2,NUP107,NUP160,NUP37,NUP43,NUP85,NUP98,PAFAH1B1,PEX14,PHF2,PPP1CC,PPP1R12A,PSEN1,RASSF2,REC8,SEC13,SEPTIN7,SIN3A,SMC1A,TP53BP1,TPR,TRAPPC12,TTK,XPO1,ZNF276"
"GO:0000779"	8	"condensed chromosome, centromeric region"	"The region of a condensed chromosome that includes the centromere and associated proteins, including the kinetochore. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome."	"CEBPB,CENPB,KMT5B,KMT5C,NCAPD3,NCAPG,SS18L1,SYCP2L"
"GO:0000781"	63	"chromosome, telomeric region"	"The terminal region of a linear chromosome that includes the telomeric DNA repeats and associated proteins."	"BLM,BRCA2,CBX1,CBX5,CDK2,CHEK1,DCLRE1B,DHX36,DMC1,DNA2,DOT1L,DYDC2,ERCC4,EZH2,FEN1,GAR1,H2AX,HAT1,HMBOX1,KDM1A,LRIF1,LRWD1,MAJIN,MRE11,NBN,NSMCE1,NSMCE2,NSMCE4A,ORC1,ORC2,ORC4,PIF1,PML,POLD1,POLR2B,PPP1CA,PPP1CB,PPP1R10,RAD17,RAD51,RIF1,RNF8,RTEL1,SLX4,SMC6,SPO11,SUN2,TERB2,TERT,TFIP11,THOC1,THOC2,THOC3,THOC5,THOC7,TNKS,TP53BP1,UPF1,WRN,WRNIP1,XRCC1,XRCC5,ZBTB48"
"GO:0000785"	177	"chromatin"	"The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome."	"A0A5F4BNX4,A0A5F4BXC8,A0A5F4BXR7,A0A5F4BYA2,A0A5F4C644,A0A5F4C802,A0A5F4C8S6,A0A5F4C9J9,A0A5F4CA56,A0A5F4CCW8,A0A5F4CDQ6,A0A5F4CSR9,A0A5F4CZY0,A0A5F4D3Q6,A0A5F4D8U6,A0A5F4DAJ2,A0A5F4DHE9,AHCTF1,ANKRD17,APTX,AR,ARRB1,ASF1A,ATF2,BASP1,CALCOCO1,CAMTA2,CAPN2,CASZ1,CBX7,CCAR2,CDCA5,CEBPB,CHAF1A,CHAF1B,CHMP2A,CHMP7,CITED2,COPS5,CREB3L1,CREBBP,DDX11,DDX23,DFFA,DFFB,DLX5,DVL3,EGR1,ESCO1,ETV3,EZH2,FANK1,FBH1,FER,FIZ1,FOXD3,FOXH1,GABPA,GATA3,GATA5,HAND2,HAT1,HIF1A,HIF3A,HIRA,HMGB2,HMGN1,HMGN2,HMGN3,HMGN4,HNRNPK,HPF1,HSF4,HTRA2,IPO4,IRF1,IST1,KDM1A,KDM4C,KIF22,KLF1,KLHDC3,LDB1,LEMD2,LOXL2,MAEL,MAX,MCM2,MEF2A,MSH6,MYOCD,NACC2,NASP,NCOA1,NCOA3,NCOR2,NEDD4,NFATC1,NFATC2,NFE2L2,NHLH2,NIPBL,NR1D1,NR1H3,NRIP1,NUCKS1,OBI1,ORC3,ORC5,PCNA,PDS5A,PHOX2A,PHOX2B,PINK1,PLCB1,PLK1,PLK2,POGZ,POU5F1,PPARD,PPP1R10,PRAME,PRDM10,PRMT5,RAD21,RAD51,RAD51AP1,RARA,RARG,RELA,RELB,RFX3,RIF1,RUNX2,RXRA,SDR16C5,SETD1A,SETD3,SFPQ,SLF2,SLX4,SMAD2,SMAD3,SMAD4,SMC3,SMCR8,SNAI2,SOX18,SPI1,SPRTN,SRF,SRPK1,SRPK2,STAT1,STAT3,STAT6,SUV39H2,TAF4,TAF5,TBX6,TBXT,TCF12,TCF4,TCF7L2,TGM2,TIPIN,TP53,TP63,TRPS1,UBR2,UPF1,USF1,USP3,WAPL,WBP2,XRCC1,ZEB2"
"GO:0000786"	69	"nucleosome"	"A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures."	"A0A5F4BWK7,A0A5F4C2N8,A0A5F4C489,A0A5F4D2K9,A0A5F4DCE8,A0A5F4DJG1,CENPA,E2RRD2,F1PQZ0,F1PX67,GLYR1,H1-0,H1-2,H1-4,H1-5,H1-6,H1-8,H1-9,H2AB1,H2AC1,H2AC11,H2AC12,H2AC13,H2AC14,H2AC15,H2AC16,H2AC18,H2AC2,H2AC21,H2AC6,H2AC7,H2AC9,H2AJ,H2AW,H2AX,H2AZ1,H2AZ2,H2BC10,H2BC12,H2BC13,H2BC18,H2BC2,H2BC20,H2BC25,H2BU1,H2BU2,H2BW1,H3C13,H3C5,H3C6,H4-16,H4C11,H4C7,HP1BP3,J9NWQ8,J9P0B2,J9P6F1,KAT6A,KAT6B,KDM1B,L7MTP0,LOC612779,MACROH2A1,MACROH2A2,MPHOSPH8,SHPRH,SLF1,SPHK2,TNP2"
"GO:0000791"	23	"euchromatin"	"A dispersed and relatively uncompacted form of chromatin."	"ALKBH1,CBX2,CBX3,CREB1,CTNNB1,DNMT3A,F1P737,H1-0,KLF4,LOC612447,MYOD1,NR1H4,POLR2A,POU4F2,RNF2,RUVBL2,SETD5,SP1,TBP,TCF23,TCF3,TRIM24,UHRF1"
"GO:0000792"	27	"heterochromatin"	"A compact and highly condensed form of chromatin."	"BEND3,BMI1,CBX3,CBX8,DNMT3A,EME1,H1-4,H1-5,HDAC1,MBD2,MBD3,MECP2,MORC2,MPHOSPH8,ORC2,PML,PSIP1,SALL1,SALL4,SMARCAD1,TCP1,TNKS1BP1,TOP2B,UBA1,UHRF1,WDR76,ZBTB18"
"GO:0000793"	13	"condensed chromosome"	"A highly compacted molecule of DNA and associated proteins resulting in a cytologically distinct structure."	"AKAP8,AURKC,BAZ1B,CDK2,CTCF,FANCD2,HMGB2,LIG4,MACROH2A1,RAD51,RIF1,SMARCA5,SMC2"
"GO:0000794"	19	"condensed nuclear chromosome"	"A highly compacted molecule of DNA and associated proteins resulting in a cytologically distinct nuclear chromosome."	"ADD3,AGO3,BRCA1,CDX2,CHEK1,CHMP1A,H2AX,IHO1,KIFAP3,LRPPRC,NEK2,NIFK,NOL6,RAD51,RRS1,RSPH1,SHOC1,SUN2,TOPBP1"
"GO:0000795"	11	"synaptonemal complex"	"A proteinaceous scaffold found between homologous chromosomes during meiosis. It consists of 2 lateral elements and a central element, all running parallel to each other.  Transverse filaments connect the lateral elements to the central element."	"CCNB1IP1,FKBP6,HORMAD1,HORMAD2,HSPA2,MLH1,MLH3,PLK1,SYCE1,SYN1,WAPL"
"GO:0000796"	7	"condensin complex"	"A multisubunit protein complex that plays a central role in chromosome condensation."	"NCAPD2,NCAPD3,NCAPG,NCAPG2,NCAPH,SMC2,SMC4"
"GO:0000800"	9	"lateral element"	"A proteinaceous core found between sister chromatids during meiotic prophase."	"BLM,INCENP,RAD21L1,RAD51,REC8,SMC1B,SMC3,STAG3,SYCP2"
"GO:0000801"	3	"central element"	"A structural unit of the synaptonemal complex found between the lateral elements."	"INCENP,SYCP1,TEX11"
"GO:0000802"	2	"transverse filament"	"A structural unit of the synaptonemal complex that spans the regions between the lateral elements and connects them."	"STAG3,SYCP1"
"GO:0000803"	1	"sex chromosome"	"A chromosome involved in sex determination."	"SMC6"
"GO:0000805"	4	"X chromosome"	"The sex chromosome present in both sexes of species in which the male is the heterogametic sex. Two copies of the X chromosome are present in each somatic cell of females and one copy is present in males."	"CDK2,PCGF3,PCGF5,SIN3B"
"GO:0000806"	2	"Y chromosome"	"The sex chromosome present in males of species in which the male is the heterogametic sex; generally, the sex chromosome that pairs with the X chromosome in the heterogametic sex. The Y chromosome is absent from the cells of females and present in one copy in the somatic cells of males."	"CDK2,SIN3B"
"GO:0000812"	6	"Swr1 complex"	"A multisubunit protein complex that is involved in chromatin remodeling. It is required for the incorporation of the histone variant H2AZ into chromatin. In S. cerevisiae, the complex contains Swr1p, a Swi2/Snf2-related ATPase, and 12 additional subunits."	"ANP32E,BRD8,EP400,ING3,KAT5,RUVBL2"
"GO:0000813"	6	"ESCRT I complex"	"An endosomal sorting complex required for transport. It consists of the class E vacuolar protein sorting (Vps) proteins and interacts with ubiquitinated cargoes."	"A0A5F4C2P9,MVB12B,TSG101,UBAP1L,VPS28,VPS37B"
"GO:0000814"	3	"ESCRT II complex"	"An endosomal sorting complex required for transport and functions downstream of ESCRT I complex. It consists of the class E vacuolar protein sorting (Vps) proteins and is required for the membrane recruitment of ESCRT III complex and binds to ubiquitinated cargoes."	"A0A5F4C6X0,SNF8,VPS36"
"GO:0000815"	3	"ESCRT III complex"	"An endosomal sorting complex required for transport. Consists of two soluble subcomplexes of highly charged coiled-coil proteins and is required for sorting and/or concentration of multivesicular body (MVB) cargoes."	"CHMP4A,CHMP6,CHMP7"
"GO:0000818"	1	"nuclear MIS12/MIND complex"	"A multiprotein kinetochore subcomplex that binds to centromeric chromatin and forms part of the inner kinetochore of a chromosome in the nucleus. It helps to recruit outer kinetochore subunits that will bind to microtubules. Nuclear localization arises in some organisms because the nuclear envelope is not broken down during mitosis. In S. cerevisiae, it consists of at least four proteins: Mtw1p, Nnf1p, Nsl1p, and Dsn1."	"SLC25A44"
"GO:0000839"	2	"Hrd1p ubiquitin ligase ERAD-L complex"	"A multiprotein complex that recognizes and ubiquitinates proteins with misfolded luminal domains during ER-associated protein degradation (ERAD). In S. cerevisiae, this complex contains the ubiquitin ligase Hrd1p."	"SEL1L,SYVN1"
"GO:0000922"	52	"spindle pole"	"Either of the ends of a spindle, where spindle microtubules are organized; usually contains a microtubule organizing center and accessory molecules, spindle microtubules and astral microtubules."	"A0A5F4BZB2,AAAS,ANKRD53,BIRC6,BRCC3,CDC25B,CDC6,CEP128,CEP44,CEP85,CEP89,CEP95,CETN1,CKAP5,CSPP1,CTDP1,CTNNB1,DDX11,DYNC1I1,DYNC1LI1,DYNC2I1,EFHC1,FBF1,IKBKG,KATNAL1,KATNAL2,KATNB1,KIF11,KIF2A,KNTC1,MTCL1,NEDD9,NEK2,PKP4,POC1A,POC1B,PSRC1,RAB11A,SBDS,SGO1,TOPORS,TPT1,TPX2,TUBGCP2,TUBGCP4,TUBGCP5,TUBGCP6,UMOD,UNC119,VPS4B,WDR73,ZW10"
"GO:0000930"	6	"gamma-tubulin complex"	"A multiprotein complex composed of gamma-tubulin and other non-tubulin proteins. Gamma-tubulin complexes are localized to microtubule organizing centers, and play an important role in the nucleation of microtubules. The number and complexity of non-tubulin proteins associated with these complexes varies between species."	"CEP290,CKAP5,MARK4,PDE4B,TOPORS,UXT"
"GO:0000931"	2	"gamma-tubulin large complex"	"A complex of gamma tubulin and associated proteins thought to be formed by multimerization of gamma-tubulin small complexes. An example of this structure is found in Schizosaccharomyces pombe."	"CDK5RAP2,TUBGCP5"
"GO:0000932"	32	"P-body"	"A focus in the cytoplasm where mRNAs may become inactivated by decapping or some other mechanism. Protein and RNA localized to these foci are involved in mRNA degradation, nonsense-mediated mRNA decay (NMD), translational repression, and RNA-mediated gene silencing."	"A0A5F4C3R1,AGO1,AGO2,AGO3,AGO4,C11H9orf72,CNOT3,DIS3L2,EDC4,EIF4ENIF1,GARRE1,LIN28A,MEX3A,MEX3B,MOV10,NANOS2,NANOS3,NOCT,PSMA6,PUM1,RC3H1,SHFL,SQSTM1,SYNE1,TOP1,TRIM71,YTHDF1,YTHDF2,YTHDF3,ZC3H12A,ZFP36,ZFP36L1"
"GO:0000938"	1	"GARP complex"	"A quatrefoil tethering complex required for retrograde traffic from the early endosome back to the late Golgi and biogenesis of cytoplasmic vesicles."	"EIPR1"
"GO:0000939"	2	"condensed chromosome inner kinetochore"	"The region of a condensed chromosome kinetochore closest to centromeric DNA; in mammals the CREST antigens (CENP proteins) are found in this layer; this layer may help define underlying centromeric chromatin structure and position of the kinetochore on the chromosome."	"CENPA,ORC2"
"GO:0000940"	7	"condensed chromosome outer kinetochore"	"The region of a condensed chromosome kinetochore most external to centromeric DNA; this outer region mediates kinetochore-microtubule interactions."	"BUB1B,CENPF,NDC80,NUP133,PLK1,SKA2,SKA3"
