"id"	"geneNum"	"description"	"gene"
68886	194	"M Phase"	"AAAS,ACTR1A,ANAPC10,ANAPC11,ANAPC16,ANAPC4,ANAPC5,ANAPC7,ANKLE2,ARPP19,AURKB,BANF1,CCNB1,CCNB2,CCP110,CDC16,CDC20,CDC23,CDC26,CDC27,CDCA8,CDK1,CDK5RAP2,CENPA,CENPC,CENPJ,CENPL,CENPM,CENPN,CENPP,CEP41,CEP57,CEP63,CEP76,CETN2,CKAP5,CNEP1R1,CSNK2A1,CSNK2A2,CTDNEP1,DCTN2,DCTN3,DSN1,DYNC1H1,DYNC1I1,DYNC1I2,DYNC1LI1,DYNLL1,ENSA,ESPL1,FBXO5,GORASP1,H2AC18,H2AC19,H2AC20,H2AC6,H2AC8,H2AJ,H2AX,H2AZ2,H2BC11,H2BC13,H2BC14,H2BC15,H2BC3,H2BC4,H2BC5,H2BC6,H2BC8,H2BC9,H2BU1,H3-3A,H3-3B,H3C1,H3C13,H3C7,H4-16,H4C8,H4C9,HAUS2,HAUS3,HAUS6,HAUS7,HAUS8,HDAC8,ITGB3BP,KIF18A,KNL1,LOC100856176,LOC477570,LOC478702,LOC608051,LPIN1,MAD1L1,MAU2,MIS12,MZT1,MZT2B,NCAPD2,NCAPH,NDC1,NDC80,NEK2,NEK6,NEK7,NEK9,NSL1,NUDC,NUF2,NUP107,NUP133,NUP188,NUP35,NUP37,NUP42,NUP43,NUP58,NUP62,NUP88,NUP98,PAFAH1B1,PDS5A,PDS5B,PPP2CB,PPP2R1A,PPP2R5A,PPP2R5B,PPP2R5D,PPP2R5E,PRKAR2B,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RAB1A,RAD21,RAE1,RPS27,RPS27A,SEC13,SFI1,SGO2,SKA1,SKA2,SMC1A,SMC2,SMC3,SMC4,SPC24,SPC25,STAG1,STAG2,TAOK1,TUBA4A,TUBB,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBGCP3,TUBGCP5,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,VRK2,XPO1,ZW10,ZWINT"
68911	2	"G2 Phase"	"CCNA2,CDK2"
68949	44	"Orc1 removal from chromatin"	"CCNA2,CDC6,CDK2,CUL1,MCM3,MCM4,MCM6,MCM8,ORC1,ORC3,ORC4,ORC5,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RPS27A,SKP2,UBA52,UBB,UBC"
68952	4	"DNA replication initiation"	"POLA2,POLE,POLE3,PRIM2"
68962	18	"Activation of the pre-replicative complex"	"CDC6,CDC7,CDK2,GMNN,MCM10,MCM3,MCM4,MCM6,MCM8,ORC1,ORC3,ORC4,ORC5,POLA2,POLE,POLE3,PRIM2,RPA1"
69002	49	"DNA Replication Pre-Initiation"	"CDC6,CDC7,CDK2,GMNN,MCM10,MCM3,MCM4,MCM6,MCM8,ORC1,ORC3,ORC4,ORC5,POLA2,POLE,POLE3,PRIM2,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RPA1,RPS27A,UBA52,UBB,UBC"
69017	48	"CDK-mediated phosphorylation and removal of Cdc6"	"ANAPC10,ANAPC11,ANAPC16,ANAPC4,ANAPC5,ANAPC7,CCNA2,CDC16,CDC23,CDC26,CDC27,CDC6,CDK2,FZR1,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RPS27A,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1"
69052	58	"Switching of origins to a post-replicative state"	"ANAPC10,ANAPC11,ANAPC16,ANAPC4,ANAPC5,ANAPC7,CCNA2,CDC16,CDC23,CDC26,CDC27,CDC6,CDK2,CUL1,FZR1,MCM3,MCM4,MCM6,MCM8,ORC1,ORC3,ORC4,ORC5,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RPS27A,SKP2,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1"
69091	10	"Polymerase switching"	"PCNA,POLA2,POLD2,POLD3,PRIM2,RFC1,RFC2,RFC3,RFC4,RFC5"
69109	10	"Leading Strand Synthesis"	"PCNA,POLA2,POLD2,POLD3,PRIM2,RFC1,RFC2,RFC3,RFC4,RFC5"
69166	7	"Removal of the Flap Intermediate"	"FEN1,PCNA,POLA2,POLD2,POLD3,PRIM2,RPA1"
69183	7	"Processive synthesis on the lagging strand"	"FEN1,PCNA,POLA2,POLD2,POLD3,PRIM2,RPA1"
69186	12	"Lagging Strand Synthesis"	"FEN1,PCNA,POLA2,POLD2,POLD3,PRIM2,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1"
69190	15	"DNA strand elongation"	"FEN1,GINS2,GINS3,GINS4,PCNA,POLA2,POLD2,POLD3,PRIM2,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1"
69200	1	"Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes"	"CDK2"
69202	38	"Cyclin E associated events during G1/S transition"	"AKT2,AKT3,CCNA2,CDC25A,CDK2,CDKN1A,CUL1,MNAT1,PSMA3,PSMA6,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSMF1,RPS27A,SKP2,UBA52,UBB,UBC,WEE1"
69206	55	"G1/S Transition"	"AKT2,AKT3,CCNA2,CDC25A,CDC6,CDC7,CDK2,CDKN1A,CUL1,GMNN,MCM10,MCM3,MCM4,MCM6,MCM8,MNAT1,ORC1,ORC3,ORC4,ORC5,POLA2,POLE,POLE3,PRIM2,PSMA3,PSMA6,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSMF1,RPA1,RPS27A,SKP2,UBA52,UBB,UBC,WEE1"
69231	8	"Cyclin D associated events in G1"	"CUL1,RBL2,RPS27A,SKP2,TFDP2,UBA52,UBB,UBC"
69236	8	"G1 Phase"	"CUL1,RBL2,RPS27A,SKP2,TFDP2,UBA52,UBB,UBC"
69239	75	"Synthesis of DNA"	"ANAPC10,ANAPC11,ANAPC16,ANAPC4,ANAPC5,ANAPC7,CCNA2,CDC16,CDC23,CDC26,CDC27,CDC6,CDK2,CUL1,FEN1,FZR1,GINS2,GINS3,GINS4,MCM3,MCM4,MCM6,MCM8,ORC1,ORC3,ORC4,ORC5,PCNA,POLA2,POLD2,POLD3,POLE,POLE3,PRIM2,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPS27A,SKP2,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1"
69242	89	"S Phase"	"AKT2,AKT3,ANAPC10,ANAPC11,ANAPC16,ANAPC4,ANAPC5,ANAPC7,CCNA2,CDC16,CDC23,CDC25A,CDC26,CDC27,CDC6,CDK2,CDKN1A,CUL1,ESCO1,FEN1,FZR1,GINS2,GINS3,GINS4,MCM3,MCM4,MCM6,MCM8,MNAT1,ORC1,ORC3,ORC4,ORC5,PCNA,PDS5A,PDS5B,POLA2,POLD2,POLD3,POLE,POLE3,PRIM2,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RAD21,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPS27A,SKP2,SMC1A,SMC3,STAG1,STAG2,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,WEE1"
69273	10	"Cyclin A/B1/B2 associated events during G2/M transition"	"CCNA2,CCNB1,CCNB2,CDC25A,CDC25C,CDK1,CDK2,MNAT1,WEE1,XPO1"
69275	86	"G2/M Transition"	"ACTR1A,AJUBA,CCNA2,CCNB1,CCNB2,CCP110,CDC25A,CDC25C,CDK1,CDK2,CDK5RAP2,CENPJ,CEP41,CEP57,CEP63,CEP76,CETN2,CKAP5,CUL1,DCTN2,DCTN3,DYNC1H1,DYNC1I2,DYNLL1,FBXL18,FBXW11,GTSE1,HAUS2,HAUS3,HAUS6,HAUS7,HAUS8,LOC100856176,LOC477570,LOC478702,LOC608051,MNAT1,MZT1,MZT2B,NEK2,PAFAH1B1,PPP2R1A,PRKAR2B,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RAB8A,RPS27A,SFI1,TUBA4A,TUBB,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBGCP3,TUBGCP5,UBA52,UBB,UBC,WEE1,XPO1"
69278	246	"Cell Cycle, Mitotic"	"AAAS,ACTR1A,AJUBA,AKT2,AKT3,ANAPC10,ANAPC11,ANAPC16,ANAPC4,ANAPC5,ANAPC7,ANKLE2,ARPP19,AURKB,BANF1,CCNA2,CCNB1,CCNB2,CCP110,CDC16,CDC20,CDC23,CDC25A,CDC25C,CDC26,CDC27,CDC6,CDC7,CDCA8,CDK1,CDK2,CDK5RAP2,CDKN1A,CENPA,CENPC,CENPJ,CENPL,CENPM,CENPN,CENPP,CEP41,CEP57,CEP63,CEP76,CETN2,CKAP5,CNEP1R1,CSNK2A1,CSNK2A2,CTDNEP1,CUL1,DCTN2,DCTN3,DSN1,DYNC1H1,DYNC1I1,DYNC1I2,DYNC1LI1,DYNLL1,E2F4,ENSA,ESCO1,ESPL1,FBXL18,FBXO5,FBXW11,FEN1,FZR1,GINS2,GINS3,GINS4,GMNN,GORASP1,GTSE1,H2AC18,H2AC19,H2AC20,H2AC6,H2AC8,H2AJ,H2AX,H2AZ2,H2BC11,H2BC13,H2BC14,H2BC15,H2BC3,H2BC4,H2BC5,H2BC6,H2BC8,H2BC9,H2BU1,H3-3A,H3-3B,H3C1,H3C13,H3C7,H4-16,H4C8,H4C9,HAUS2,HAUS3,HAUS6,HAUS7,HAUS8,HDAC8,ITGB3BP,KIF18A,KNL1,LIN54,LOC100856176,LOC477570,LOC478702,LOC608051,LPIN1,MAD1L1,MAU2,MCM10,MCM3,MCM4,MCM6,MCM8,MIS12,MNAT1,MZT1,MZT2B,NCAPD2,NCAPH,NDC1,NDC80,NEK2,NEK6,NEK7,NEK9,NSL1,NUDC,NUF2,NUP107,NUP133,NUP188,NUP35,NUP37,NUP42,NUP43,NUP58,NUP62,NUP88,NUP98,ORC1,ORC3,ORC4,ORC5,PAFAH1B1,PCNA,PDS5A,PDS5B,POLA2,POLD2,POLD3,POLE,POLE3,PPP2CB,PPP2R1A,PPP2R5A,PPP2R5B,PPP2R5D,PPP2R5E,PRIM2,PRKAR2B,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RAB1A,RAB8A,RAD21,RAE1,RBBP4,RBL2,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPS27,RPS27A,SEC13,SFI1,SGO2,SKA1,SKA2,SKP2,SMC1A,SMC2,SMC3,SMC4,SPC24,SPC25,STAG1,STAG2,TAOK1,TFDP2,TUBA4A,TUBB,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBGCP3,TUBGCP5,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,VRK2,WEE1,XPO1,ZW10,ZWINT"
69306	78	"DNA Replication"	"ANAPC10,ANAPC11,ANAPC16,ANAPC4,ANAPC5,ANAPC7,CCNA2,CDC16,CDC23,CDC26,CDC27,CDC6,CDC7,CDK2,CUL1,FEN1,FZR1,GINS2,GINS3,GINS4,GMNN,MCM10,MCM3,MCM4,MCM6,MCM8,ORC1,ORC3,ORC4,ORC5,PCNA,POLA2,POLD2,POLD3,POLE,POLE3,PRIM2,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPS27A,SKP2,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1"
69416	6	"Dimerization of procaspase-8"	"CASP8,FAS,FASLG,RIPK1,TRADD,TRAF2"
69473	39	"G2/M DNA damage checkpoint"	"ABRAXAS1,ATRIP,BABAM1,CCNB1,CDC25C,CDK1,CHEK1,CHEK2,H2AX,H2BC11,H2BC13,H2BC14,H2BC15,H2BC3,H2BC4,H2BC5,H2BC6,H2BC8,H2BC9,H2BU1,H3C1,H3C7,H4-16,H4C8,H4C9,HERC2,KAT5,PIAS4,RAD50,RNF168,SFN,SUMO1,TP53BP1,UBE2V2,UIMC1,WEE1,YWHAB,YWHAH,YWHAZ"
69478	4	"G2/M DNA replication checkpoint"	"CCNB1,CCNB2,CDK1,WEE1"
69481	62	"G2/M Checkpoints"	"ABRAXAS1,ATRIP,BABAM1,CCNB1,CCNB2,CDC25A,CDC25C,CDC6,CDC7,CDK1,CDK2,CHEK1,CHEK2,CLSPN,H2AX,H2BC11,H2BC13,H2BC14,H2BC15,H2BC3,H2BC4,H2BC5,H2BC6,H2BC8,H2BC9,H2BU1,H3C1,H3C7,H4-16,H4C8,H4C9,HERC2,HUS1,KAT5,MCM10,MCM3,MCM4,MCM6,MCM8,ORC1,ORC3,ORC4,ORC5,PIAS4,RAD1,RAD17,RAD50,RFC2,RFC3,RFC4,RFC5,RNF168,RPA1,SFN,SUMO1,TP53BP1,UBE2V2,UIMC1,WEE1,YWHAB,YWHAH,YWHAZ"
69541	34	"Stabilization of p53"	"CHEK2,COP1,MDM4,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RPS27A,UBA52,UBB,UBC"
69563	37	"p53-Dependent G1 DNA Damage Response"	"CCNA2,CDK2,CDKN1A,CHEK2,COP1,MDM4,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RPS27A,UBA52,UBB,UBC"
69580	37	"p53-Dependent G1/S DNA damage checkpoint"	"CCNA2,CDK2,CDKN1A,CHEK2,COP1,MDM4,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RPS27A,UBA52,UBB,UBC"
69601	34	"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A"	"CDC25A,CHEK1,CHEK2,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RPS27A,UBA52,UBB,UBC"
69610	34	"p53-Independent DNA Damage Response"	"CDC25A,CHEK1,CHEK2,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RPS27A,UBA52,UBB,UBC"
69613	34	"p53-Independent G1/S DNA damage checkpoint"	"CDC25A,CHEK1,CHEK2,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RPS27A,UBA52,UBB,UBC"
69615	39	"G1/S DNA Damage Checkpoints"	"CCNA2,CDC25A,CDK2,CDKN1A,CHEK1,CHEK2,COP1,MDM4,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RPS27A,UBA52,UBB,UBC"
69618	61	"Mitotic Spindle Checkpoint"	"ANAPC10,ANAPC11,ANAPC16,ANAPC4,ANAPC5,ANAPC7,AURKB,CDC16,CDC20,CDC23,CDC26,CDC27,CDCA8,CENPA,CENPC,CENPL,CENPM,CENPN,CENPP,CKAP5,DSN1,DYNC1H1,DYNC1I1,DYNC1I2,DYNC1LI1,DYNLL1,ITGB3BP,KIF18A,KNL1,MAD1L1,MIS12,NDC80,NSL1,NUDC,NUF2,NUP107,NUP133,NUP37,NUP43,NUP98,PAFAH1B1,PPP2CB,PPP2R1A,PPP2R5A,PPP2R5B,PPP2R5D,PPP2R5E,RPS27,SEC13,SGO2,SKA1,SKA2,SPC24,SPC25,TAOK1,UBE2C,UBE2D1,UBE2E1,XPO1,ZW10,ZWINT"
69620	158	"Cell Cycle Checkpoints"	"ABRAXAS1,ANAPC10,ANAPC11,ANAPC16,ANAPC4,ANAPC5,ANAPC7,ATRIP,AURKB,BABAM1,CCNA2,CCNB1,CCNB2,CDC16,CDC20,CDC23,CDC25A,CDC25C,CDC26,CDC27,CDC6,CDC7,CDCA8,CDK1,CDK2,CDKN1A,CENPA,CENPC,CENPL,CENPM,CENPN,CENPP,CHEK1,CHEK2,CKAP5,CLSPN,COP1,DSN1,DYNC1H1,DYNC1I1,DYNC1I2,DYNC1LI1,DYNLL1,H2AX,H2BC11,H2BC13,H2BC14,H2BC15,H2BC3,H2BC4,H2BC5,H2BC6,H2BC8,H2BC9,H2BU1,H3C1,H3C7,H4-16,H4C8,H4C9,HERC2,HUS1,ITGB3BP,KAT5,KIF18A,KNL1,MAD1L1,MCM10,MCM3,MCM4,MCM6,MCM8,MDM4,MIS12,NDC80,NSL1,NUDC,NUF2,NUP107,NUP133,NUP37,NUP43,NUP98,ORC1,ORC3,ORC4,ORC5,PAFAH1B1,PIAS4,PPP2CB,PPP2R1A,PPP2R5A,PPP2R5B,PPP2R5D,PPP2R5E,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RAD1,RAD17,RAD50,RFC2,RFC3,RFC4,RFC5,RNF168,RPA1,RPS27,RPS27A,SEC13,SFN,SGO2,SKA1,SKA2,SPC24,SPC25,SUMO1,TAOK1,TP53BP1,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UBE2V2,UIMC1,WEE1,XPO1,YWHAB,YWHAH,YWHAZ,ZW10,ZWINT"
69656	39	"Cyclin A:Cdk2-associated events at S phase entry"	"AKT2,AKT3,CCNA2,CDC25A,CDK2,CDKN1A,CUL1,FZR1,MNAT1,PSMA3,PSMA6,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSMF1,RPS27A,SKP2,UBA52,UBB,UBC,WEE1"
70171	30	"Glycolysis"	"AAAS,ADPGK,ALDOB,ENO3,GAPDHS,GCKR,GNPDA1,GPI,HK3,LOC100683724,LOC100688969,NDC1,NUP107,NUP133,NUP188,NUP35,NUP37,NUP42,NUP43,NUP58,NUP62,NUP88,NUP98,PFKL,PFKM,PGAM1,PGK1,PGM2L1,RAE1,SEC13"
70221	6	"Glycogen breakdown (glycogenolysis)"	"GAA,PGM2,PGM2L1,PHKA1,PHKG2,PYGM"
