"id"	"geneNum"	"description"	"definition"	"gene"
"GO:0000150"	1	"recombinase activity"	"Catalysis of the identification and base-pairing of homologous sequences between single-stranded DNA and double-stranded DNA."	"RAD51"
"GO:0000166"	63	"nucleotide binding"	"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."	"A0A5F4BQF8,A0A5F4BR38,A0A5F4BSW0,A0A5F4C8U8,A0A5F4D6R5,A0A5F4DA28,AASDH,ACSBG1,ACSF2,ACSF3,ACSL1,ACSL3,ACSL4,ACSL5,ACSL6,ACSM3,ACSM4,ACSM5,ACSS2,ACSS3,APLF,BLVRA,CHFR,CRCP,DHDH,DXO,EXOSC10,F1PPD7,FHIT,FPGT,GDPGP1,GFOD2,HPRT1,IMPDH1,IMPDH2,ITPA,LOC479822,MOCS2,MRPL39,NAXE,NT5C1A,NT5C3A,NT5C3B,NT5E,NUDT2,ORC4,POLD1,POLE,POLR2D,PRTFDC1,RDH14,REV3L,RMI1,RTCA,SLC27A1,SLC27A2,SLC27A3,SLC27A4,SLC27A6,SUCLG1,TRIB2,VDAC3,ZBTB45"
"GO:0000175"	6	"3'-5'-exoribonuclease activity"	"Catalysis of the sequential cleavage of mononucleotides from a free 3' terminus of an RNA molecule."	"A0A5F4DF49,DIS3L2,EXD2,EXOSC10,ISG20,ISG20L2"
"GO:0000179"	2	"rRNA (adenine-N6,N6-)-dimethyltransferase activity"	"Catalysis of the dimethylation two adjacent A residues in the loop closing the 3'-terminal stem of the 18S rRNA, using S-adenosyl-L-methionine as a methyl donor."	"A0A5F4C0V1,RRNAD1"
"GO:0000182"	2	"rDNA binding"	"Interacting selectively and non-covalently with DNA sequences encoding ribosomal RNA."	"BNC1,MACROH2A1"
"GO:0000210"	3	"NAD+ diphosphatase activity"	"Catalysis of the reaction: NAD+ + H2O = AMP + NMN."	"ENPP5,NUDT12,NUDT13"
"GO:0000213"	1	"tRNA-intron endonuclease activity"	"Catalysis of the endonucleolytic cleavage of pre-tRNA, producing 5'-hydroxyl and 2',3'-cyclic phosphate termini, and specifically removing the intron."	"TSEN34"
"GO:0000225"	1	"N-acetylglucosaminylphosphatidylinositol deacetylase activity"	"Catalysis of the reaction: N-acetyl-D-glucosaminylphosphatidylinositol + H2O = D-glucosaminylphosphatidylinositol + acetate. This reaction is the second step of the biosynthesis of glycosylphosphatidylinositol (GPI), used to anchor various eukaryotic proteins to the cell-surface membrane."	"PIGL"
"GO:0000253"	2	"3-keto sterol reductase activity"	"Catalysis of the reaction: a 3-beta-hydroxyl sterol + NADP+ = a 3-keto sterol + NADPH + H(+)."	"DHRS11,HSD17B7"
"GO:0000268"	2	"peroxisome targeting sequence binding"	"Interacting selectively and non-covalently with a peroxisomal targeting sequence, any of several sequences of amino acids within a protein that can act as a signal for the localization of the protein into the peroxisome."	"CAT,PEX5L"
"GO:0000285"	1	"1-phosphatidylinositol-3-phosphate 5-kinase activity"	"Catalysis of the reaction: a 1-phosphatidyl-1D-myo-inositol 3-phosphate + ATP = a 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate + ADP + 2 H(+)."	"PIKFYVE"
"GO:0000287"	175	"magnesium ion binding"	"Interacting selectively and non-covalently with magnesium (Mg) ions."	"A0A5F4BNR6,A0A5F4C740,A0A5F4C8K9,A0A5F4CCE4,A0A5F4CK02,A0A5F4CUG7,A0A5F4CY61,AASDHPPT,ABL1,ABL2,ADPRH,ADPRHL1,ADPRS,ADSS1,ADSS2,ARL3,ATP10A,ATP10B,ATP10D,ATP11A,ATP11B,ATP11C,ATP4A,ATP8A1,ATP8A2,ATP8B1,ATP8B2,ATP8B4,ATP9A,ATP9B,BRSK1,BRSK2,CDC42BPA,CDC42BPG,CDK2,CERK,CIB2,CIB3,CIB4,CLYBL,COMT,DCTPP1,DHX36,DIS3L2,DUT,DYRK2,DYRK3,ENO1,ENO2,ENO3,ENO4,ENOPH1,ERN1,ERN2,EXD2,EYA2,F1PCN7,FARSB,FOXK2,GCLC,GEM,GEN1,HMGCL,HPGDS,HPRT1,IDH1,IDH2,IDH3A,IDH3B,IDH3G,ILVBL,IMPA1,IRAK3,IRAK4,ITPK1,J9NV90,LATS1,LOC476315,LOC481394,LOC486036,LOC486426,LOC608697,LOC611901,LRRK2,MAP2K7,MAP3K5,MAP3K6,MAP3K7,MAPK12,MARK1,MARK2,MAST1,MAST2,MAST3,MORC2,MSH2,MSH6,MTG2,MTHFD2,MTPAP,NEK6,NIM1K,NLK,NT5C1A,NT5C3A,NT5C3B,NUAK2,NUDT16,NUDT3,NUDT7,PARP6,PCK1,PDE2A,PDXK,PDXP,PGM1,PGM2,PGM3,PGM5,PIF1,PINK1,PKLR,PLK1,PLSCR1,PLSCR3,PPA1,PPM1A,PPM1B,PPM1N,PRKACA,PRKACB,PRPS1,PRPS1L1,PRPS2,PRPSAP1,RAN,RAP2A,RDH14,RHEB,RNASEH1,RP2,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA5,RPS6KA6,SIK2,SIK3,SNCA,SNRK,SPHK1,SRPK1,SRPK2,STK11,STK26,STK3,STK38L,STK4,SUCLA2,SUCLG2,TDG,THG1L,TKT,TOP2A,TREX1,TREX2,TSSK1B,TSSK4,TSSK6,UBA2,WEE1,WEE2,WRN,XXYLT1,XYLT2"
"GO:0000293"	2	"ferric-chelate reductase activity"	"Catalysis of the reaction: 2 Fe2+ + NAD+ = 2 Fe3+ + NADH + H(+)."	"CYB561,CYBRD1"
"GO:0000309"	1	"nicotinamide-nucleotide adenylyltransferase activity"	"Catalysis of the reaction: ATP + nicotinamide nucleotide = diphosphate + NAD+."	"NMNAT3"
"GO:0000339"	3	"RNA cap binding"	"Interacting selectively and non-covalently with a 7-methylguanosine (m7G) group or derivative located at the 5' end of an RNA molecule."	"A0A5F4CB90,EIF4G3,IFIT5"
"GO:0000340"	4	"RNA 7-methylguanosine cap binding"	"Interacting selectively and non-covalently with the 7-methylguanosine group added cotranscriptionally to the 5' end of RNA molecules transcribed by polymerase II."	"AGO2,GEMIN5,NCBP1,NCBP3"
"GO:0000386"	1	"second spliceosomal transesterification activity"	"Catalysis of the second transesterification reaction of spliceosomal mRNA splicing. Ligation of the two exons occurs via a transesterification reaction where the free 3'-hydroxyl group of the 5' exon is the nucleophile attacking the 3' splice site. Non-expressed sequences are now detached from the exons. In cis splicing, the intron is in a lariat structure."	"SLU7"
"GO:0000400"	8	"four-way junction DNA binding"	"Interacting selectively and non-covalently with DNA containing four-way junctions, also known as Holliday junctions, a structure where two DNA double strands are held together by reciprocal exchange of two of the four strands, one strand each from the two original helices."	"ABL1,BLM,HMGB1,HMGB2,HMGB3,RAD51B,WRN,YY1"
"GO:0000403"	3	"Y-form DNA binding"	"Interacting selectively and non-covalently with segment of DNA shaped like a Y. This shape occurs when DNA contains a region of paired double-stranded DNA on one end and a region of unpaired DNA strands on the opposite end."	"BLM,RAD18,WRN"
"GO:0000405"	5	"bubble DNA binding"	"Interacting selectively and non-covalently with DNA that contains a bubble. A bubble occurs when DNA contains a region of unpaired, single-stranded DNA flanked on both sides by regions of paired, double-stranded DNA."	"ABL1,BLM,HMGB1,NEIL3,WRN"
"GO:0000701"	1	"purine-specific mismatch base pair DNA N-glycosylase activity"	"Catalysis of the removal of purines present in mismatches, especially opposite oxidized purines, by cleaving the N-C1' glycosidic bond between the target damaged DNA base and the deoxyribose sugar. The reaction releases a free base and leaves an apurinic (AP) site."	"PCNA"
"GO:0000773"	1	"phosphatidyl-N-methylethanolamine N-methyltransferase activity"	"Catalysis of the reaction: S-adenosyl-L-methionine + phosphatidyl-N-methylethanolamine = S-adenosyl-L-homocysteine + phosphatidyl-N-dimethylethanolamine."	"PEMT"
"GO:0000774"	3	"adenyl-nucleotide exchange factor activity"	"Stimulates the hydrolysis and exchange of adenyl nucleotides by other proteins."	"GRPEL1,HSPH1,SIL1"
"GO:0000810"	3	"diacylglycerol diphosphate phosphatase activity"	"Catalysis of the reaction: a 1,2-diacyl-sn-glycerol 3-diphosphate + H2O = a 1,2-diacyl-sn-glycerol 3-phosphate + phosphate."	"PLPP1,PLPP4,PLPP5"
"GO:0000825"	1	"inositol tetrakisphosphate 6-kinase activity"	"Catalysis of the reaction: 1D-myo-inositol 1,3,4,5-tetrakisphosphate + ATP = 1D-myo-inositol 1,3,4,5,6-pentakisphosphate + ADP."	"ITPK1"
"GO:0000827"	2	"inositol-1,3,4,5,6-pentakisphosphate kinase activity"	"Catalysis of the reaction: ATP + 1D-myo-inositol 1,3,4,5,6-pentakisphosphate = ADP + diphospho-1D-myo-inositol tetrakisphosphate. The isomeric configuration of diphospho-1D-myo-inositol tetrakisphosphate is unknown."	"PPIP5K1,PPIP5K2"
"GO:0000828"	1	"inositol hexakisphosphate kinase activity"	"Catalysis of the reaction: ATP + 1D-myo-inositol 1,2,3,4,5,6-hexakisphosphate = ADP + diphospho-1D-myo-inositol-pentakisphosphate. The isomeric configuration of diphospho-1D-myo-inositol-pentakisphosphate (PP-IP5) is unknown."	"IP6K1"
"GO:0000829"	1	"inositol heptakisphosphate kinase activity"	"Catalysis of the reaction: ATP + diphospho-1D-myo-inositol-pentakisphosphate = ADP + bis(diphospho)-1D-myo-inositol-tetrakisphosphate. The isomeric configurations of the diphospho-1D-myo-inositol-pentakisphosphate (PP-IP5) and bis(diphospho)-1D-myo-inositol-tetrakisphosphate (bis-PP-IP4) are unknown."	"PPIP5K2"
"GO:0000832"	3	"inositol hexakisphosphate 5-kinase activity"	"Catalysis of the reaction: ATP + 1D-myo-inositol 1,2,3,4,5,6-hexakisphosphate = ADP + 5-diphospho-1D-myo-inositol (1,2,3,4,6)pentakisphosphate."	"IP6K2,PPIP5K1,PPIP5K2"
"GO:0000900"	3	"translation repressor activity, mRNA regulatory element binding"	"Antagonizes the ribosome-mediated translation of mRNA into a polypeptide via direct binding (through a selective and non-covalent interaction) to nucleic acid."	"PAIP2,PAIP2B,PURA"
"GO:0000976"	42	"transcription regulatory region sequence-specific DNA binding"	"Interacting selectively and non-covalently with a specific sequence of DNA that is part of a regulatory region that controls transcription of that section of the DNA. The transcribed region might be described as a gene, cistron, or operon."	"AR,ARID5B,ASH2L,BRCA1,BRD7,CBX4,CCNT1,CHD3,CRY2,ERBB4,GATA3,GFI1,IRF6,KCNH2,KDM5A,KLF11,MSX2,MTERF3,NFKB1,NKX3-1,PAX8,PITX2,PPARG,PRDM16,RBBP5,REST,RFX3,SMAD6,SMARCA2,SOX12,TAF2,TAF7,TBL1XR1,TCF7,TFAP2B,TFEB,TNF,XRCC5,XRCC6,ZBED2,ZBED4,ZBTB48"
"GO:0000977"	41	"RNA polymerase II regulatory region sequence-specific DNA binding"	"Interacting selectively and non-covalently with a specific sequence of DNA that is part of a regulatory region that controls the transcription of a gene or cistron by RNA polymerase II."	"BARX2,BCOR,CASZ1,CREBRF,CUX2,DEAF1,DLX1,DMBX1,EHMT2,ESRRG,ETV3,ETV7,FOSL2,GLI3,GLIS1,HMX3,IRF2,KAT2B,MACROH2A2,MEF2C,MTF2,MXI1,OTP,PAX9,PHOX2A,PLAGL1,PURG,RFXANK,RFXAP,RPS3,RXRB,SATB1,SOX13,STOX1,TFDP1,TFDP2,VEZF1,VSX2,YBX3,ZBTB5,ZIC4"
"GO:0000978"	145	"RNA polymerase II proximal promoter sequence-specific DNA binding"	"Interacting selectively and non-covalently with a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in the proximal promoter of a gene transcribed by RNA polymerase II. The proximal promoter is in cis with and relatively close to the core promoter."	"A0A5F4DHS5,APP,ARNT,ARNT2,ATF4,BACH1,BCL6,BMI1,CARF,CC2D1B,CCAR1,CDK9,CDX1,CDX2,CDX4,CHD7,CTCFL,CUX2,DHX36,DHX9,DNMT3A,E2F7,EBF2,EHF,ELF1,ELF4,ELK1,ELK3,EPAS1,ETS2,ETV1,ETV4,ETV6,EZH2,FLI1,FOSB,FOXP3,FOXS1,GABPA,GATA3,GLI1,GMEB2,GRHL1,GRHL3,GTF2IRD1,HAND1,HDAC4,HDAC6,HELT,HIF3A,HIVEP1,HNF4A,IRF8,IRX3,KDM2B,KDM6A,KLF12,KLF6,KLF7,LEF1,LHX2,LHX3,LITAF,MED12,MEF2A,MEF2D,MEIS1,MEIS2,MEOX1,MSC,MTA1,MYB,MYBL2,NCOA2,NDN,NFATC3,NFATC4,NFE2L2,NFIB,NFIL3,NFKB1,NFYC,NKX3-1,NKX6-2,NKX6-3,NLRC5,NPAS4,NR2F1,NR6A1,NRF1,NRIP1,PAX5,PAX8,PHOX2B,POU2F2,PRDM5,PRRX1,RAD23B,RBPJ,REST,RORA,RREB1,RUVBL2,SARS1,SATB2,SIX4,SKIL,SMAD2,SMAD4,SMYD3,SOX30,SOX8,SOX9,SP2,SPI1,SPIC,STAT1,STAT3,STAT6,SUB1,SUZ12,TBP,TBX2,TBX3,TCF4,TCF7L2,TEAD4,TFAP2B,TFAP2C,TFAP2E,TFCP2L1,THRAP3,TOP1,TP53,UBP1,WBP2,YAP1,ZBED1,ZBTB7A,ZNF277,ZNF281,ZNF335,ZNF639,ZNF644,ZNF692"
"GO:0000979"	12	"RNA polymerase II core promoter sequence-specific DNA binding"	"Interacting selectively and non-covalently with a DNA sequence that is part of the core promoter of a RNA polymerase II-transcribed gene."	"CEBPB,EZH2,FOS,GBX2,GTF2A1,HDAC1,MACROH2A1,POU2F1,RELA,RUVBL2,STAT1,TBP"
"GO:0000981"	53	"DNA-binding transcription factor activity, RNA polymerase II-specific"	"A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units."	"A0A5F4CIA6,A0A5F4CZY2,A0A5F4D5I0,BARX1,CRX,CUX1,DBX2,DLX1,DLX6,ELF5,FOXN4,FOXP3,GATA3,GLI1,GSC,HIF3A,HMX2,HMX3,HOXB4,HOXB9,HOXC12,HOXC4,HOXC8,HOXD12,HSF4,IRX5,IRX6,J9P7Y9,KLF11,LHX6,LHX8,LOC102155093,LOC608516,MNX1,MYC,MYRF,NKX3-1,PHOX2A,PITX2,POU1F1,POU2F3,POU6F2,SOX14,SOX8,SOX9,SP100,STAT1,TAL2,TFAP2B,TP53,VSX1,ZNF131,ZNF644"
"GO:0000987"	15	"proximal promoter sequence-specific DNA binding"	"Interacting selectively and non-covalently with a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in the proximal promoter. The proximal promoter is in cis with and relatively close to the core promoter."	"ELL3,GATA3,HMGA1,HMGB2,LHX1,MSX1,NKX2-2,PAX2,SOX9,TFCP2,TFDP1,UHRF1,XBP1,ZNF516,ZNF704"
"GO:0000993"	14	"RNA polymerase II complex binding"	"Interacting selectively and non-covalently with RNA polymerase II core enzyme, a multisubunit eukaryotic nuclear RNA polymerase typically composed of twelve subunits."	"AGO1,AGO2,CDC73,DHX9,ELP2,ELP4,GTF2B,PAF1,RECQL5,SMYD2,SMYD3,URI1,UVSSA,ZNF326"
"GO:0000995"	3	"RNA polymerase III general transcription initiation factor activity"	"An activity that contributes to transcription start site selection and transcription initiation of genes transcribed by RNA polymerase III. Factors required for RNA polymerase III transcription initiation include TFIIIA, TFIIIB and TFIIIC."	"SNAPC4,SNAPC5,TBP"
"GO:0001002"	3	"RNA polymerase III type 1 promoter sequence-specific DNA binding"	"Interacting selectively and non-covalently with a sequence of DNA that is a part of a type 1 promoter that controls transcription by RNA polymerase III. Type 1 promoters are found in 5S rRNA genes, downstream of the transcription start site within the sequence of the mature RNA, and require TFIIIA for recognition."	"MAF1,MTOR,RPTOR"
"GO:0001003"	3	"RNA polymerase III type 2 promoter sequence-specific DNA binding"	"Interacting selectively and non-covalently with a sequence of DNA that is a part of a type 2 promoter that controls transcription by RNA polymerase III. Type 2 promoters consist of an A box and a B box downstream of the transcription start site within the sequence within the sequence of the mature RNA. Type 2 promoters are found in many tRNA genes as well as in other small RNAs."	"MAF1,MTOR,RPTOR"
"GO:0001006"	4	"RNA polymerase III type 3 promoter sequence-specific DNA binding"	"Interacting selectively and non-covalently with a sequence of DNA that is a part of a type 3 promoter that controls transcription by RNA polymerase III (Pol III). A type 3 Pol III promoter is composed of elements upstream of the transcription start site, including a TATA box. The human U6 snRNA gene has a type 3 promoter. Type 3 Pol III promoters have not been observed in S. cerevisiae."	"BRF2,MAF1,MTOR,RPTOR"
"GO:0001010"	2	"RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity"	"The function of binding to a specific DNA sequence and recruiting another transcription factor to the DNA in order to modulate transcription. The recruited factor may bind DNA directly, or may be colocalized via protein-protein interactions."	"KLF4,NANOG"
"GO:0001018"	2	"mitochondrial promoter sequence-specific DNA binding"	"Interacting selectively and non-covalently with a DNA region that controls the transcription of the mitochondrial DNA."	"LONP1,TFAM"
"GO:0001042"	1	"RNA polymerase I core binding"	"Interacting selectively and non-covalently with RNA polymerase I core enzyme, a multisubunit eukaryotic nuclear RNA polymerase typically composed of seventeen subunits."	"ERBB2"
"GO:0001046"	9	"core promoter sequence-specific DNA binding"	"Interacting selectively and non-covalently with a sequence of DNA that is part of a core promoter region. The core promoter is composed of the transcription start site and binding sites for the RNA polymerase and the basal transcription machinery. The transcribed region might be described as a gene, cistron, or operon."	"AGO1,AGO2,KLF10,MMP12,NR3C1,POLR2A,TAF4,TP53,ZBTB17"
"GO:0001054"	1	"RNA polymerase I activity"	"Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template that contains an RNA polymerase I specific promoter to direct initiation and catalyzes DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain 'de novo'."	"POLR1A"
"GO:0001055"	1	"RNA polymerase II activity"	"Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template that contains an RNA polymerase II specific promoter to direct initiation and catalyses DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain 'de novo'."	"POLR2J"
"GO:0001067"	1	"regulatory region nucleic acid binding"	"Interacting selectively and non-covalently with a nucleic acid region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair."	"LIN54"
"GO:0001069"	1	"regulatory region RNA binding"	"Interacting selectively and non-covalently with a RNA region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair."	"DHX9"
"GO:0001091"	2	"RNA polymerase II basal transcription factor binding"	"Interacting selectively and non-covalently with a basal RNA polymerase II transcription factor, any of the factors involved in formation of the preinitiation complex (PIC) by RNA polymerase II and defined as a basal or general transcription factor."	"AR,DRAP1"
"GO:0001093"	2	"TFIIB-class transcription factor binding"	"Interacting selectively and non-covalently with a general RNA polymerase II transcription factor of the TFIIB class, one of the factors involved in formation of the preinitiation complex (PIC) by RNA polymerase II."	"ESR1,TBP"
"GO:0001094"	7	"TFIID-class transcription factor complex binding"	"Interacting selectively and non-covalently with a general RNA polymerase II transcription factor belonging to the TFIID complex, one of the factors involved in formation of the preinitiation complex (PIC) by RNA polymerase II."	"ERCC4,FBL,NOP58,RUVBL1,RUVBL2,TP53,ZNHIT6"
"GO:0001096"	1	"TFIIF-class transcription factor complex binding"	"Interacting selectively and non-covalently with a general RNA polymerase II transcription factor belonging to the TFIIF complex, one of the factors involved in formation of the preinitiation complex (PIC) by RNA polymerase II."	"CTDP1"
"GO:0001097"	1	"TFIIH-class transcription factor complex binding"	"Interacting selectively and non-covalently with a general RNA polymerase II transcription factor belonging to the TFIIH complex, one of the factors involved in formation of the preinitiation complex (PIC) by RNA polymerase II."	"TAF7"
"GO:0001147"	1	"transcription termination site sequence-specific DNA binding"	"Interacting selectively and non-covalently with a sequence of DNA that promotes termination by RNA polymerase. The transcribed region might be described as a gene, cistron, or operon."	"XRN2"
"GO:0001156"	2	"TFIIIC-class transcription factor complex binding"	"Interacting selectively and non-covalently with a general RNA polymerase III transcription factor belonging to the TFIIC complex, one of the factors involved in formation of the preinitiation complex (PIC) by RNA polymerase III."	"MTOR,RPTOR"
"GO:0001161"	2	"intronic transcription regulatory region sequence-specific DNA binding"	"Interacting selectively and non-covalently with an intronic DNA sequence that regulates the transcription of the transcript it is contained within."	"BCL6,TITF1"
"GO:0001162"	5	"RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding"	"Interacting selectively and non-covalently with an RNA polymerase II intronic DNA sequence that regulates the transcription of the transcript it is contained within."	"NCOA2,POU5F1,SMYD3,VAX1,ZC3H8"
"GO:0001164"	5	"RNA polymerase I CORE element sequence-specific DNA binding"	"Interacting selectively and non-covalently with the regulatory region composed of the transcription start site and binding sites for transcription factors of the RNA polymerase I transcription machinery. This site is often referred to as the CORE element. In mammalian cells, the CORE element functions in conjunction with the Upstream Control Element (UCE), while in fungi, protozoa, and plants, the CORE element functions without a UCE."	"RRN3,SMARCA4,SMARCB1,TAF1C,UBTF"
"GO:0001165"	1	"RNA polymerase I upstream control element sequence-specific DNA binding"	"Interacting selectively and non-covalently with the upstream control element (UCE, or alternately referred to as the upstream element), a sequence of DNA that is in cis with and relatively close to a core promoter for RNA polymerase I."	"UBTF"
"GO:0001181"	2	"RNA polymerase I general transcription initiation factor activity"	"An activity that contributes to transcription start site selection and transcription initiation of genes transcribed by RNA polymerase I. Factors required for RNA polymerase I transcription initiation include upstream activation factor (UAF), core factor (CF), TATA binding protein (TBP) and RRN3."	"TAF1C,UBTF"
"GO:0001216"	5	"bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding"	"Interacting selectively and non-covalently with a specific DNA sequence in order to activate or increase the frequency, rate or extent of transcription by bacterial-type RNA polymerase. The transcription factor may or may not also interact selectively with a protein or macromolecular complex."	"BNC1,E2F5,IRX3,TBX3,ZNF341"
"GO:0001221"	6	"transcription cofactor binding"	"Interacting selectively and non-covalently with a transcription cofactor, any protein involved in regulation of transcription via protein-protein interactions with transcription factors and other transcription regulatory proteins. Cofactors do not bind DNA directly, but rather mediate protein-protein interactions between regulatory transcription factors and the basal transcription machinery."	"CHD6,CTCF,CTNNB1,HAND1,LMO2,UBE2I"
"GO:0001222"	22	"transcription corepressor binding"	"Interacting selectively and non-covalently with a transcription corepressor, any protein involved in negative regulation of transcription via protein-protein interactions with transcription factors and other proteins that negatively regulate transcription. Transcription corepressors do not bind DNA directly, but rather mediate protein-protein interactions between repressing transcription factors and the basal transcription machinery."	"CTBP1,CTBP2,EED,EHMT1,EHMT2,ESR1,EZH2,HDAC3,HDAC6,LCOR,MTF2,NEK6,NR1D1,PHF1,PHF12,RORA,SIX3,SUZ12,THAP7,ZBTB16,ZBTB7A,ZNF644"
"GO:0001223"	18	"transcription coactivator binding"	"Interacting selectively and non-covalently with a transcription coactivator, any protein involved in positive regulation of transcription via protein-protein interactions with transcription factors and other proteins that positively regulate transcription. Transcription coactivators do not bind DNA directly, but rather mediate protein-protein interactions between activating transcription factors and the basal transcription machinery."	"AR,CCNT2,CDK9,CIT,ESR1,MED25,PGR,PPARD,RELA,RORA,RPL23,SMAD3,SMAD4,TEAD2,TERT,THRB,ZBTB17,ZBTB49"
"GO:0001227"	157	"DNA-binding transcription repressor activity, RNA polymerase II-specific"	"A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to repress or decrease transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units."	"AEBP2,ASCL1,ASCL2,ASCL3,ATF3,BACH1,BACH2,BCL11A,BCL6,BHLHE40,CC2D1A,CC2D1B,CDX2,CREB3L1,CREM,CTCF,CUX2,DACH1,DEAF1,DLX4,DMBX1,E2F6,E2F7,E2F8,ELK3,ERF,ETS2,ETV3,ETV6,ETV7,FERD3L,FEZF2,FOXD3,FOXK1,FOXK2,FOXO3,FOXS1,GATA3,GFI1,GTF2IRD1,GZF1,HAND1,HELT,HES3,HES5,HHEX,HIC1,HINFP,HIVEP1,HMX1,HOXA2,HOXB13,HOXB8,HSF1,IKZF5,IRF8,IRX1,IRX2,IRX3,KLF12,KLF8,MAFK,MAX,MLX,MLXIPL,MNT,MSC,MSX1,MXD3,MXI1,MYPOP,MYT1L,MZF1,NACC2,NANOG,NEUROG3,NFATC2,NFATC3,NFATC4,NFE2L3,NFIL3,NFX1,NKX3-2,NKX6-2,NKX6-3,NR1D1,NR1D2,NR2C1,NR2E1,NR2F1,NR3C1,OTP,OVOL1,OVOL2,PAX4,PCBP3,POU4F2,PRDM1,PRDM16,PRDM2,PRDM5,PROX1,PRRX1,RELA,REST,RORC,SALL1,SATB1,SKI,SKIL,SMAD5,SNAI2,SOX13,SOX30,SP2,SP3,SP5,SPI1,SREBF2,TBX15,TBX2,TBX21,TBX3,TCF21,TCF3,TFAP2C,TFEC,TGIF1,THAP1,THAP11,TRPS1,VAX1,VSX2,YY1,ZBTB18,ZBTB21,ZBTB32,ZBTB4,ZBTB5,ZBTB7A,ZC3H8,ZEB1,ZEB2,ZFHX3,ZNF140,ZNF148,ZNF175,ZNF202,ZNF205,ZNF217,ZNF239,ZNF263,ZNF281,ZNF536,ZNF668,ZNF692,ZNF750"
