"id"	"geneNum"	"description"	"gene"
"cfa00250"	35	"Alanine, aspartate and glutamate metabolism"	"ABAT,ADSL,ADSS1,ADSS2,AGXT,AGXT2,ALDH4A1,ALDH5A1,ASL,ASNS,ASPA,ASRGL1,ASS1,CAD,CPS1,FOLH1,GAD1,GAD2,GFPT1,GFPT2,GLS,GLS2,GLUD1,GLUL,GOT1,GOT1L1,GOT2,GPT,GPT2,IL4I1,NAT8L,NIT2,PPAT,RIMKLA,RIMKLB"
"cfa00260"	37	"Glycine, serine and threonine metabolism"	"AGXT,AGXT2,ALAS1,ALAS2,ALDH7A1,AMT,AOC2,AOC3,BHMT,BPGM,CBS,CHDH,CTH,DAO,DLD,DMGDH,GAMT,GCAT,GCSH,GLDC,GLYCTK,GNMT,GRHPR,MAOA,MAOB,PGAM1,PGAM2,PHGDH,PIPOX,PSAT1,PSPH,SARDH,SDS,SDSL,SHMT1,SHMT2,SRR"
"cfa00270"	48	"Cysteine and methionine metabolism"	"ADI1,AGXT2,AHCY,AHCYL1,AHCYL2,AMD1,APIP,BCAT1,BCAT2,BHMT,BHMT2,CBS,CDO1,CTH,DNMT1,DNMT3A,DNMT3B,ENOPH1,GCLC,GCLM,GOT1,GOT1L1,GOT2,GSS,IL4I1,KYAT1,KYAT3,LACC1,LDHA,LDHAL6B,LDHB,LDHC,MAT1A,MAT2A,MAT2B,MDH1,MDH2,MPST,MRI1,MTAP,MTR,PHGDH,PSAT1,SDS,SDSL,SRM,TAT,TST"
"cfa00280"	49	"Valine, leucine and isoleucine degradation"	"AACS,ABAT,ACAA1,ACAA2,ACAD8,ACADM,ACADS,ACADSB,ACAT1,ACAT2,ACSF3,AGXT2,ALDH16A1,ALDH1B1,ALDH2,ALDH3A2,ALDH6A1,ALDH7A1,ALDH9A1,AOX2,AOX4,AUH,BCAT1,BCAT2,BCKDHA,BCKDHB,DBT,DLD,ECHS1,EHHADH,HADH,HADHA,HADHB,HIBADH,HIBCH,HMGCL,HMGCLL1,HMGCS1,HMGCS2,HSD17B10,IL4I1,IVD,MCCC1,MCCC2,MCEE,MMUT,OXCT1,PCCA,PCCB"
"cfa00290"	4	"Valine, leucine and isoleucine biosynthesis"	"BCAT1,BCAT2,SDS,SDSL"
"cfa00310"	61	"Lysine degradation"	"AADAT,AASS,ACAT1,ACAT2,ALDH16A1,ALDH1B1,ALDH2,ALDH3A2,ALDH7A1,ALDH9A1,ASH1L,BBOX1,CAMKMT,COLGALT1,COLGALT2,DHTKD1,DLD,DLST,DOT1L,ECHS1,EHHADH,EHMT1,EHMT2,EZH1,EZH2,GCDH,HADH,HADHA,HYKK,KMT2A,KMT2B,KMT2C,KMT2D,KMT2E,KMT5A,KMT5B,KMT5C,MECOM,NSD1,NSD2,NSD3,PHYKPL,PIPOX,PLOD1,PLOD3,PRDM16,PRDM2,PRDM6,SETD1A,SETD1B,SETD2,SETD7,SETDB1,SETDB2,SETMAR,SMYD1,SMYD2,SMYD3,SUV39H1,SUV39H2,TMLHE"
"cfa00330"	44	"Arginine and proline metabolism"	"AGMAT,ALDH16A1,ALDH18A1,ALDH1B1,ALDH2,ALDH3A2,ALDH4A1,ALDH7A1,ALDH9A1,AMD1,AOC1,ARG1,ARG2,AZIN2,CARNS1,CKM,CKMT2,CNDP1,CNDP2,DAO,GAMT,GOT1,GOT1L1,GOT2,HOGA1,L3HYPDH,LAP3,MAOA,MAOB,NOS1,NOS2,NOS3,OAT,ODC1,P4HA1,P4HA2,P4HA3,PRODH2,PYCR1,PYCR2,PYCR3,SAT2,SMOX,SRM"
"cfa00340"	22	"Histidine metabolism"	"ALDH16A1,ALDH1B1,ALDH2,ALDH3A1,ALDH3A2,ALDH3B1,ALDH7A1,ALDH9A1,AMDHD1,AOC1,ASPA,CARNMT1,CARNS1,CNDP1,CNDP2,FTCD,HAL,HDC,HNMT,MAOA,MAOB,UROC1"
"cfa00350"	30	"Tyrosine metabolism"	"ADH4,ADH5,ALDH3A1,ALDH3B1,AOC2,AOC3,AOX2,AOX4,COMT,DBH,DCT,DDC,FAH,FAHD1,GOT1,GOT1L1,GOT2,GSTZ1,HGD,HPD,IL4I1,MAOA,MAOB,MIF,PNMT,TAT,TH,TPO,TYR,TYRP1"
"cfa00360"	15	"Phenylalanine metabolism"	"ALDH3A1,ALDH3B1,AOC2,AOC3,DDC,GOT1,GOT1L1,GOT2,HPD,IL4I1,MAOA,MAOB,MIF,PAH,TAT"
"cfa00380"	43	"Tryptophan metabolism"	"AADAT,AANAT,ACAT1,ACAT2,ACMSD,AFMID,ALDH16A1,ALDH1B1,ALDH2,ALDH3A2,ALDH7A1,ALDH8A1,ALDH9A1,AOC1,AOX2,AOX4,ASMT,CAT,CYP1A1,CYP1A2,CYP1B1,DDC,DHTKD1,DLD,DLST,ECHS1,EHHADH,GCDH,HAAO,HADH,HADHA,IDO1,IDO2,IL4I1,KMO,KYAT1,KYAT3,KYNU,MAOA,MAOB,TDO2,TPH1,TPH2"
"cfa00400"	6	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"GOT1,GOT1L1,GOT2,IL4I1,PAH,TAT"
"cfa00410"	31	"beta-Alanine metabolism"	"ABAT,ACADS,ACOX1,ACOX3,ALDH16A1,ALDH1B1,ALDH2,ALDH3A1,ALDH3A2,ALDH3B1,ALDH6A1,ALDH7A1,ALDH9A1,AOC2,AOC3,CARNS1,CNDP1,CNDP2,CSAD,DPYD,DPYS,ECHS1,EHHADH,GAD1,GAD2,GADL1,HADHA,HIBCH,MLYCD,SMOX,UPB1"
"cfa00430"	16	"Taurine and hypotaurine metabolism"	"ADO,BAAT,CDO1,CSAD,FMO1,FMO2,FMO3,FMO4,FMO5,GAD1,GAD2,GADL1,GGT1,GGT5,GGT6,GGT7"
"cfa00440"	5	"Phosphonate and phosphinate metabolism"	"CEPT1,CHPT1,PCYT1A,PCYT2,SELENOI"
"cfa00450"	16	"Selenocompound metabolism"	"CTH,KYAT1,KYAT3,MARS1,MARS2,MTR,PAPSS1,PAPSS2,PSTK,SCLY,SEPHS1,SEPHS2,SEPSECS,TXNRD1,TXNRD2,TXNRD3"
"cfa00470"	5	"D-Amino acid metabolism"	"DAO,DGLUCY,GLS,GLS2,SRR"
"cfa00480"	44	"Glutathione metabolism"	"ANPEP,CHAC1,CHAC2,GCLC,GCLM,GGCT,GGT1,GGT5,GGT6,GGT7,GPX1,GPX2,GPX3,GPX4,GPX5,GPX6,GPX7,GPX8,GSR,GSS,GSTA4,GSTK1,GSTO1,GSTO2,GSTP1,GSTT2B,HPGDS,IDH1,IDH2,LANCL1,LAP3,MGST1,MGST2,MGST3,NAT8,ODC1,OPLAH,PGD,PRDX6,RRM1,RRM2,RRM2B,SRM,TXNDC12"
"cfa00500"	31	"Starch and sucrose metabolism"	"AGL,ENPP1,ENPP3,G6PC1,G6PC2,G6PC3,GAA,GANC,GBA3,GBE1,GCK,GPI,GYG1,GYG2,GYS1,GYS2,HK1,HK2,HK3,HKDC1,MGAM,MGAM2,PGM1,PGM2,PGM2L1,PYGB,PYGL,PYGM,SI,TREH,UGP2"
"cfa00510"	47	"N-Glycan biosynthesis"	"ALG1,ALG11,ALG12,ALG13,ALG14,ALG2,ALG3,ALG5,ALG6,ALG8,ALG9,B4GALT1,B4GALT2,B4GALT3,DAD1,DDOST,DOLK,DOLPP1,DPAGT1,DPM1,DPM2,DPM3,FUT8,GANAB,MAN1A1,MAN1A2,MAN1C1,MAN2A1,MAN2A2,MGAT1,MGAT2,MGAT3,MGAT4A,MGAT4B,MGAT4C,MGAT4D,MGAT5,MGAT5B,MOGS,RPN1,RPN2,SRD5A3,ST6GAL1,ST6GAL2,STT3A,STT3B,TUSC3"
"cfa00511"	18	"Other glycan degradation"	"AGA,ENGASE,FUCA1,FUCA2,GBA,GBA2,GLB1,HEXA,HEXB,HEXD,MAN2B1,MAN2B2,MAN2C1,MANBA,NEU1,NEU2,NEU3,NEU4"
"cfa00512"	34	"Mucin type O-glycan biosynthesis"	"B3GNT3,B3GNT6,B4GALT5,C1GALT1,C1GALT1C1,C1GALT1C1L,GALNT1,GALNT10,GALNT11,GALNT12,GALNT13,GALNT14,GALNT15,GALNT16,GALNT17,GALNT18,GALNT2,GALNT3,GALNT5,GALNT6,GALNT7,GALNT8,GALNT9,GALNTL5,GALNTL6,GCNT1,GCNT3,GCNT4,ST3GAL1,ST3GAL2,ST6GALNAC1,ST6GALNAC2,ST6GALNAC3,ST6GALNAC4"
"cfa00513"	38	"Various types of N-glycan biosynthesis"	"ALG1,ALG11,ALG12,ALG13,ALG14,ALG2,ALG3,ALG9,B4GALNT3,B4GALNT4,B4GALT1,B4GALT2,B4GALT3,CHST8,CHST9,DAD1,DDOST,FUT8,HEXA,HEXB,HEXD,MAN1A1,MAN1A2,MAN1C1,MAN2A1,MAN2A2,MGAT1,MGAT2,MGAT4A,MGAT4B,MGAT4C,MGAT4D,RPN1,RPN2,ST3GAL3,STT3A,STT3B,TUSC3"
"cfa00514"	45	"Other types of O-glycan biosynthesis"	"B3GLCT,B4GALT1,B4GALT2,B4GALT3,C1GALT1,C1GALT1C1,C1GALT1C1L,COLGALT1,COLGALT2,EOGT,GALNT1,GALNT10,GALNT11,GALNT12,GALNT13,GALNT14,GALNT15,GALNT16,GALNT17,GALNT18,GALNT2,GALNT3,GALNT5,GALNT6,GALNT7,GALNT8,GALNT9,GALNTL5,GALNTL6,GXYLT1,GXYLT2,LFNG,MFNG,OGT,PLOD3,POFUT1,POFUT2,POGLUT1,POMT1,POMT2,RFNG,ST3GAL3,ST6GAL1,ST6GAL2,XXYLT1"
"cfa00515"	23	"Mannose type O-glycan biosynthesis"	"B3GALNT2,B3GAT1,B3GAT2,B4GALT1,B4GALT2,B4GALT3,B4GAT1,CHST10,CRPPA,FKRP,FKTN,FUT4,FUT9,LARGE1,LARGE2,MGAT5B,POMGNT1,POMGNT2,POMK,POMT1,POMT2,RXYLT1,ST3GAL3"
"cfa00520"	47	"Amino sugar and nucleotide sugar metabolism"	"AMDHD2,CHIA,CMAS,CYB5R1,CYB5R2,CYB5R3,CYB5R4,CYB5RL,FCSK,FPGT,GALE,GALK1,GALK2,GALT,GCK,GFPT1,GFPT2,GFUS,GMDS,GMPPA,GMPPB,GNE,GNPDA1,GNPDA2,GNPNAT1,GPI,HEXA,HEXB,HK1,HK2,HK3,HKDC1,MPI,NAGK,NANP,NANS,NPL,PGM1,PGM2,PGM3,PMM1,PMM2,RENBP,UAP1,UGDH,UGP2,UXS1"
"cfa00524"	5	"Neomycin, kanamycin and gentamicin biosynthesis"	"GCK,HK1,HK2,HK3,HKDC1"
"cfa00531"	19	"Glycosaminoglycan degradation"	"ARSB,GALNS,GLB1,GNS,GUSB,HEXA,HEXB,HGSNAT,HPSE,HPSE2,HYAL1,HYAL2,HYAL3,HYAL4,IDS,IDUA,NAGLU,SGSH,SPAM1"
"cfa00532"	20	"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"B3GALT6,B3GAT3,B4GALT7,CHPF,CHST11,CHST12,CHST13,CHST14,CHST15,CHST3,CHST7,CHSY1,CHSY3,CSGALNACT1,CSGALNACT2,DSE,DSEL,UST,XYLT1,XYLT2"
"cfa00533"	13	"Glycosaminoglycan biosynthesis - keratan sulfate"	"B3GNT2,B3GNT7,B4GALT1,B4GALT2,B4GALT3,B4GALT4,CHST1,CHST2,CHST4,FUT8,ST3GAL1,ST3GAL2,ST3GAL3"
"cfa00534"	23	"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"B3GALT6,B3GAT3,B4GALT7,EXT1,EXT2,EXTL1,EXTL2,EXTL3,GLCE,HS2ST1,HS3ST1,HS3ST2,HS3ST3A1,HS3ST5,HS6ST1,HS6ST2,HS6ST3,NDST1,NDST2,NDST3,NDST4,XYLT1,XYLT2"
"cfa00561"	60	"Glycerolipid metabolism"	"ABHD16A,AGK,AGPAT1,AGPAT2,AGPAT3,AGPAT4,AGPAT5,AKR1A1,AKR1B1,ALDH16A1,ALDH1B1,ALDH2,ALDH3A2,ALDH7A1,ALDH9A1,CEL,DGAT1,DGAT2,DGKA,DGKB,DGKD,DGKE,DGKG,DGKH,DGKI,DGKK,DGKQ,DGKZ,GK,GK2,GLYCTK,GPAM,GPAT2,GPAT3,LCLAT1,LIPC,LIPF,LIPG,LPIN1,LPIN2,LPIN3,LPL,MBOAT1,MBOAT2,MGLL,MOGAT1,MOGAT2,MOGAT3,PLPP1,PLPP2,PLPP3,PLPP4,PLPP5,PNLIP,PNLIPRP1,PNLIPRP2,PNLIPRP3,PNPLA2,PNPLA3,TKFC"
"cfa00562"	71	"Inositol phosphate metabolism"	"ALDH6A1,CDIPT,FIG4,IMPA1,IMPA2,INPP1,INPP4A,INPP4B,INPP5A,INPP5B,INPP5D,INPP5E,INPP5F,INPP5J,INPP5K,INPPL1,IPMK,IPPK,ISYNA1,ITPK1,ITPKA,ITPKB,ITPKC,MINPP1,MIOX,MTM1,MTMR1,MTMR14,MTMR2,MTMR3,MTMR4,MTMR6,MTMR7,OCRL,PI4K2A,PI4K2B,PI4KA,PI4KB,PIK3C2A,PIK3C2B,PIK3C2G,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIKFYVE,PIP4K2A,PIP4K2B,PIP4K2C,PIP5K1A,PIP5K1B,PIP5K1C,PIP5KL1,PLCB1,PLCB2,PLCB3,PLCB4,PLCD1,PLCD3,PLCD4,PLCE1,PLCG1,PLCG2,PLCH1,PLCZ1,PTEN,SACM1L,SYNJ1,SYNJ2,TPI1"
"cfa00563"	25	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"DPM2,GPAA1,GPLD1,MPPE1,PGAP1,PIGA,PIGB,PIGC,PIGF,PIGG,PIGH,PIGK,PIGL,PIGM,PIGN,PIGO,PIGQ,PIGS,PIGT,PIGU,PIGV,PIGW,PIGX,PIGY,PIGZ"
"cfa00564"	91	"Glycerophospholipid metabolism"	"ACHE,ADPRM,AGPAT1,AGPAT2,AGPAT3,AGPAT4,AGPAT5,CDIPT,CDS1,CDS2,CEPT1,CHAT,CHKA,CHKB,CHPT1,CRLS1,DGKA,DGKB,DGKD,DGKE,DGKG,DGKH,DGKI,DGKK,DGKQ,DGKZ,ETNK1,ETNK2,ETNPPL,GNPAT,GPAM,GPAT2,GPAT3,GPCPD1,GPD1,GPD1L,GPD2,LCAT,LCLAT1,LPCAT1,LPCAT2,LPCAT3,LPCAT4,LPGAT1,LPIN1,LPIN2,LPIN3,LYPLA1,LYPLA2,MBOAT1,MBOAT2,MBOAT7,PCYT1A,PCYT2,PEMT,PGS1,PHOSPHO1,PISD,PLA1A,PLA2G10,PLA2G12A,PLA2G12B,PLA2G15,PLA2G1B,PLA2G2C,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G3,PLA2G4A,PLA2G4B,PLA2G4D,PLA2G4E,PLA2G4F,PLA2G5,PLA2G6,PLAAT3,PLB1,PLD1,PLD2,PLD3,PLD4,PLPP1,PLPP2,PLPP3,PLPP4,PLPP5,PNPLA6,PNPLA7,PTDSS2,SELENOI"
"cfa00565"	43	"Ether lipid metabolism"	"AGPS,CEPT1,CHPT1,ENPP2,ENPP6,GAL3ST1,GDPD1,GDPD3,LPCAT1,LPCAT2,LPCAT4,PAFAH1B1,PAFAH1B3,PAFAH2,PLA2G10,PLA2G12A,PLA2G12B,PLA2G1B,PLA2G2C,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G3,PLA2G4A,PLA2G4B,PLA2G4D,PLA2G4E,PLA2G4F,PLA2G5,PLA2G6,PLA2G7,PLAAT3,PLB1,PLD1,PLD2,PLD3,PLD4,PLPP1,PLPP2,PLPP3,SELENOI,TMEM86B,UGT8"
"cfa00590"	53	"Arachidonic acid metabolism"	"AKR1C3,ALOX12,ALOX12B,ALOX15,ALOX15B,ALOX5,ALOXE3,CBR3,CYP2B6,CYP2C18,CYP2E1,CYP2J2,CYP2U1,CYP4A11,CYP4A38,EPHX2,GGT1,GGT5,GPX4,HPGD,HPGDS,LTA4H,LTC4S,PLA2G10,PLA2G12A,PLA2G12B,PLA2G1B,PLA2G2C,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G3,PLA2G4A,PLA2G4B,PLA2G4D,PLA2G4E,PLA2G4F,PLA2G5,PLA2G6,PLAAT3,PLB1,PRXL2B,PTGDS,PTGES,PTGES2,PTGES3,PTGIS,PTGR1,PTGR2,PTGS1,PTGS2,TBXAS1,ZADH2"
"cfa00591"	24	"Linoleic acid metabolism"	"ALOX15,CYP1A2,CYP2C18,CYP2E1,CYP2J2,CYP3A26,PLA2G10,PLA2G12A,PLA2G12B,PLA2G1B,PLA2G2C,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G3,PLA2G4A,PLA2G4B,PLA2G4D,PLA2G4E,PLA2G4F,PLA2G5,PLA2G6,PLAAT3,PLB1"
"cfa00592"	22	"alpha-Linolenic acid metabolism"	"ACAA1,ACOX1,ACOX3,FADS2,PLA2G10,PLA2G12A,PLA2G12B,PLA2G1B,PLA2G2C,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G3,PLA2G4A,PLA2G4B,PLA2G4D,PLA2G4E,PLA2G4F,PLA2G5,PLA2G6,PLAAT3,PLB1"
"cfa00600"	51	"Sphingolipid metabolism"	"ACER1,ACER2,ACER3,ARSA,ASAH1,ASAH2,B4GALNT1,B4GALT5,B4GALT6,CERK,CERS1,CERS2,CERS3,CERS4,CERS5,CERS6,DEGS1,DEGS2,ENPP7,GAL3ST1,GALC,GBA,GBA2,GLB1,HEXA,HEXB,KDSR,NEU1,NEU2,NEU3,NEU4,PLPP1,PLPP2,PLPP3,PSAP,SGMS1,SGMS2,SGPL1,SGPP1,SGPP2,SMPD1,SMPD2,SMPD3,SMPD4,SPHK1,SPHK2,SPTLC1,SPTLC2,SPTLC3,UGCG,UGT8"
"cfa00601"	25	"Glycosphingolipid biosynthesis - lacto and neolacto series"	"A4GALT,ABO,B3GALNT1,B3GALT1,B3GALT2,B3GALT5,B3GNT2,B3GNT3,B3GNT4,B3GNT5,B4GALT1,B4GALT2,B4GALT3,B4GALT4,FUT1,FUT2,FUT4,FUT7,FUT9,GCNT2,GGTA1,ST3GAL3,ST3GAL4,ST3GAL6,ST8SIA1"
"cfa00603"	14	"Glycosphingolipid biosynthesis - globo and isoglobo series"	"A3GALT2,A4GALT,B3GALNT1,B3GALT5,FUT1,FUT2,FUT9,GBGT1,HEXA,HEXB,NAGA,ST3GAL1,ST3GAL2,ST8SIA1"
