"id"	"geneNum"	"description"	"definition"	"gene"
"GO:0000122"	487	"negative regulation of transcription by RNA polymerase II"	"Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."	"A0A5F4BWZ8,ACVR2B,AEBP2,APBB1,AR,ARID5A,ARID5B,ASCL1,ASCL2,ASCL3,ATF3,ATF4,ATF7IP,ATXN1L,AURKB,B9D2,BACH1,BACH2,BARX2,BCL11A,BCL6,BCOR,BHLHE40,BMI1,BMP2,BMP6,C1QBP,CALR,CAV1,CBFA2T2,CBX4,CBX5,CBX6,CBX8,CC2D1B,CCND1,CCND3,CCNE1,CD36,CDC73,CDK2,CDX2,CDX4,CELA1,CGGBP1,CHD3,CHD8,CIC,CNBP,CNOT1,CPEB3,CREB3L1,CREBBP,CREM,CRY1,CRY2,CRYM,CTBP1,CTNNB1,CTR9,CUX2,DAB2,DAB2IP,DACH1,DACT1,DDX20,DDX5,DEAF1,DKK1,DLG1,DLL4,DLX1,DMBX1,DMRT1,DNAJC17,DNMT1,DNMT3A,DNMT3B,DUSP26,E2F6,E2F7,E2F8,E4F1,EDN1,EDNRB,EFNA1,EGR1,EHMT2,EID1,ELANE,ELK3,EP300,EPO,ERF,ESR1,ESR2,ETS2,ETV3,ETV6,ETV7,EZH2,EZR,FASLG,FBP1,FERD3L,FEZF2,FLCN,FNIP1,FNIP2,FOXA1,FOXC2,FOXD3,FOXF1,FOXH1,FOXJ1,FOXK1,FOXK2,FOXM1,FOXO3,FOXP3,FOXS1,FRK,FST,GABPA,GADD45A,GATA2,GATAD2A,GATAD2B,GFI1,GFI1B,GLI2,GLI3,GLTP,GPS2,GTF2IRD1,GZF1,H1-0,H1-5,HAMP,HAND1,HCLS1,HDAC1,HDAC10,HDAC2,HDAC3,HDAC7,HDAC9,HELT,HES3,HES5,HES7,HESX1,HEXIM2,HHEX,HIC1,HIC2,HINFP,HIPK2,HIVEP1,HJV,HMBOX1,HMG20A,HMX1,HNF1B,HNRNPA2B1,HOPX,HOXA2,HOXA7,HOXB13,HOXB3,HOXB4,HOXB8,HOXC8,HSF1,HSF4,ID1,IKZF5,IL33,IRF2BP1,IRF8,IRX1,IRX2,IRX3,ISL1,JARID2,JAZF1,KAT5,KDM1A,KDM2B,KHDRBS1,KLF11,KLF12,KLF3,KLF4,KLF5,KLF7,KLF8,LCOR,LEF1,LMCD1,LMO1,LOXL2,MACROH2A1,MACROH2A2,MAD2L2,MAEL,MAF,MAFK,MAX,MBD2,MBD3,MCPH1,MDM2,MDM4,MED1,MED25,MEF2A,MEF2C,MEPCE,MITF,MLX,MLXIPL,MMP12,MNT,MOSPD1,MSC,MSX1,MSX2,MTDH,MTF2,MXD1,MXD3,MXI1,MYB,MYOCD,MYOZ1,MYOZ2,MYPOP,MYT1L,MZF1,NANOG,NCOA2,NCOR1,NDN,NEPN,NEUROG3,NFATC2,NFE2L3,NFIL3,NFIX,NFKB1,NIPBL,NKAP,NKX2-5,NKX3-2,NKX6-2,NKX6-3,NODAL,NOP53,NOTCH1,NOTCH2,NOTCH4,NPAS1,NR0B1,NR2C2,NR2F1,NR3C1,NR4A2,NR6A1,NRARP,NSD2,NUPR2,OLIG2,OLIG3,OSR1,OSR2,OTP,OTUD7B,OVOL1,OVOL2,PAF1,PARP15,PATZ1,PAX4,PAX5,PCBP3,PCNA,PDE2A,PDX1,PER1,PHF6,PIAS1,PIAS4,PKIG,PLK1,PLK3,POU4F2,POU5F1,PPID,PPP1R13L,PRDM1,PRDM12,PRDM14,PRDM16,PRDM2,PRDM5,PRDM6,PRKN,PRMT6,PROX1,PRRX1,PSEN1,PSMD10,PTCH1,PTPN2,PURA,RARA,RARB,RARG,RB1,RBBP7,RBL1,RBM10,RBM15,RBPJ,REST,RFX5,RIF1,RLIM,RNF2,RORC,RPL23,RREB1,RTF1,RXRA,RYBP,SALL1,SALL2,SALL4,SAP30,SARNP,SARS1,SATB1,SATB2,SDR16C5,SEMA4D,SFPQ,SHH,SHOX2,SIM2,SIRT2,SIX1,SKIL,SLA2,SMAD3,SMAD4,SMAD5,SMAD7,SMARCC2,SMO,SMYD2,SNAI1,SNAI2,SNW1,SOX13,SOX18,SOX30,SP100,SP2,SP3,SP5,SPDEF,SPI1,SQSTM1,SREBF1,SREBF2,STAT6,SUDS3,SUFU,SUPT4H1,SUPT5H,SUZ12,TAF3,TAF7,TAF9B,TAGLN3,TBL1XR1,TBX15,TBX2,TBX20,TBX21,TBX3,TBX6,TBXT,TCF21,TCF23,TCF3,TCF7L2,TFAP2B,TFAP2C,TFCP2L1,TFEC,TGIF1,TGIF2,THAP1,THAP11,THAP7,THRB,TIMELESS,TITF1,TMPRSS6,TNF,TP53,TP63,TPR,TRAF6,TRIB3,TRIM29,TRIM37,TRPS1,TRPV1,TSG101,TXNIP,UBE2I,UHRF1,USP2,UXT,VAX1,VSX2,WDTC1,WFS1,WNT10B,WWC1,WWC2,WWC3,WWP2,WWTR1,YAP1,YBX3,YEATS2,ZBED2,ZBTB1,ZBTB12,ZBTB14,ZBTB16,ZBTB17,ZBTB18,ZBTB2,ZBTB20,ZBTB21,ZBTB32,ZBTB33,ZBTB34,ZBTB37,ZBTB4,ZBTB5,ZBTB6,ZBTB7A,ZBTB7B,ZC3H8,ZEB1,ZEB2,ZFHX3,ZFP36,ZFPM2,ZHX2,ZMYM5,ZNF134,ZNF140,ZNF148,ZNF174,ZNF175,ZNF202,ZNF205,ZNF217,ZNF239,ZNF263,ZNF268,ZNF281,ZNF296,ZNF536,ZNF608,ZNF648,ZNF668,ZNF692,ZNF750,ZNF8"
"GO:0000132"	16	"establishment of mitotic spindle orientation"	"A cell cycle process that sets the alignment of mitotic spindle relative to other cellular structures."	"CENPA,FGF10,GJA1,HTT,ITGB1,MCPH1,MISP,NDC80,NSFL1C,NUMA1,PAFAH1B1,PKHD1,PLK1,SPRY2,UBXN2B,ZW10"
"GO:0000165"	52	"MAPK cascade"	"An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain an additional tiers: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell."	"A0A5F4C5E5,A0A5F4DC43,B9D2,CCL3,CCR5,EPGN,F1PXS7,FGF23,FGF8,HSF1,IL18,IL1B,ITPKB,LRRK2,MAP2K2,MAP2K4,MAP2K5,MAP2K6,MAP3K14,MAP3K15,MAP3K20,MAP3K21,MAP3K4,MAP3K6,MAP3K8,MAP4K3,MAP4K5,MAPK11,MAPK12,MAPK15,MAPK3,MAPK4,MAPK6,MAPK7,MBP,MEF2C,MYC,NLK,NRG1,PAK3,PEA15,PLVAP,POU4F2,PPM1L,RET,RHBDD3,SBK3,SCG2,SETX,SHC1,SMAD1,TGFB1"
"GO:0000183"	1	"chromatin silencing at rDNA"	"Repression of transcription of ribosomal DNA by altering the structure of chromatin."	"SUV39H1"
"GO:0000184"	17	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"The nonsense-mediated decay pathway for nuclear-transcribed mRNAs degrades mRNAs in which an amino-acid codon has changed to a nonsense codon; this prevents the translation of such mRNAs into truncated, and potentially harmful, proteins."	"A0A5F4C3R1,CASC3,CTIF,DCP1A,DCP2,EIF3E,EIF4A3,ETF1,J9P581,PARN,PNLDC1,PYM1,RBM8A,RNPS1,SMG1,SMG5,UPF3A"
"GO:0000209"	35	"protein polyubiquitination"	"Addition of multiple ubiquitin groups to a protein, forming a ubiquitin chain."	"BIRC2,CHFR,CTNNB1,DCAF15,DDB2,DTL,FBXL7,FBXO4,FBXW11,HDAC6,HUWE1,IRF2BP1,JADE2,LRSAM1,MARCHF5,MGRN1,MUL1,PRAME,RC3H2,RNF111,RNF165,RNF180,RNF20,RNF41,RUSC1,SHPRH,SPOP,TMEM129,TNKS,TNKS2,TRIM6,UBE3B,UBE3C,UBE3D,ZSWIM2"
"GO:0000212"	3	"meiotic spindle organization"	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the microtubule spindle during a meiotic cell cycle."	"AURKA,ESPL1,MYH9"
"GO:0000226"	34	"microtubule cytoskeleton organization"	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins."	"ATXN7,BBS1,CAMSAP2,CCDC170,CNTN2,CRMP1,CUL7,CUL9,DISC1,DOCK7,FER,GABARAP,GAPDH,GAS2L3,MAP1A,MAP4,MAP6,MAP7,MAP7D1,MAP7D2,MAP7D3,MAPT,MARK1,NEFL,OBSL1,PHLDB2,PRKCZ,SS18,TAOK1,TBCE,TTBK2,TTL,WEE1,ZPR1"
"GO:0000244"	6	"spliceosomal tri-snRNP complex assembly"	"The formation of a tri-snRNP complex containing U4 and U6 (or U4atac and U6atac) snRNAs and U5 snRNAs and associated proteins. This includes reannealing of U4 and U6 (or U4atac and U6atac) snRNAs released from previous rounds of splicing to reform the U4/U6 snRNP (or U4atac/U6atac snRNP) as well as the subsequent association of the U5 snRNP with the U4/U6 snRNP (or U4atac/U6atac snRNP) to form a tri-snRNP that is ready to reassemble into another spliceosome complex."	"PRPF19,PRPF3,PRPF31,PRPF6,SART3,USP4"
"GO:0000245"	10	"spliceosomal complex assembly"	"The aggregation, arrangement and bonding together of a spliceosomal complex, a ribonucleoprotein apparatus that catalyzes nuclear mRNA splicing via transesterification reactions."	"DDX39B,GCFC2,GEMIN2,GEMIN6,NCBP1,PRPF19,RBM5,SCAF11,SRPK2,USP39"
"GO:0000266"	5	"mitochondrial fission"	"The division of a mitochondrion within a cell to form two or more separate mitochondrial compartments."	"A0A5F4CRJ1,COX10,FIS1,MIEF1,MUL1"
"GO:0000271"	1	"polysaccharide biosynthetic process"	"The chemical reactions and pathways resulting in the formation of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically."	"NDST1"
"GO:0000278"	27	"mitotic cell cycle"	"Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."	"A0A5F4DHS5,AZI2,CENPT,CEP250,CLTCL1,E2F4,GEM,MASTL,NEK4,NRDE2,NUDT15,PPP1R12A,PRDM5,RECQL5,RGS14,RNF2,SETDB2,SKA2,SKA3,TADA2A,TBCD,TTYH1,USP3,WAPL,WEE1,WEE2,XRCC2"
"GO:0000281"	26	"mitotic cytokinesis"	"A cell cycle process that results in the division of the cytoplasm of a cell after mitosis, resulting in the separation of the original cell into two daughter cells."	"A0A5F4CYQ5,ANK3,APC,ARL3,BIRC5,CENPA,CIT,CUL7,ECT2,INCENP,KIF4A,LOC100683373,LZTS2,MAP9,PLK1,RAB35,RACGAP1,RHOB,SNX18,SNX33,SNX9,SPAST,SPTBN1,TRIM36,UNC119,ZFYVE26"
"GO:0000288"	1	"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"	"A major pathway of degradation of nuclear-transcribed mRNAs that proceeds through a series of ordered steps that includes poly(A) tail shortening and that can regulate mRNA stability."	"ZFP36L1"
"GO:0000289"	3	"nuclear-transcribed mRNA poly(A) tail shortening"	"Shortening of the poly(A) tail of a nuclear-transcribed mRNA from full length to an oligo(A) length."	"CNOT7,MLH1,ZFP36"
"GO:0000290"	2	"deadenylation-dependent decapping of nuclear-transcribed mRNA"	"Cleavage of the 5'-cap of a nuclear mRNA triggered by shortening of the poly(A) tail to below a minimum functional length."	"CNOT7,NOCT"
"GO:0000294"	2	"nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay"	"A minor degradation pathway nuclear-transcribed mRNAs that begins with an endonucleolytic cleavage to generate unprotected ends."	"UPF1,ZC3H12A"
"GO:0000302"	9	"response to reactive oxygen species"	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a reactive oxygen species stimulus. Reactive oxygen species include singlet oxygen, superoxide, and oxygen free radicals."	"APOD,CAT,COA8,HIF1A,HYAL1,HYAL2,NUDT15,PLK3,PTPRN"
"GO:0000303"	2	"response to superoxide"	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a superoxide stimulus. Superoxide is the anion, oxygen-, formed by addition of one electron to dioxygen (O2) or any compound containing the superoxide anion."	"ERCC6,UCP3"
"GO:0000320"	2	"re-entry into mitotic cell cycle"	"The resumption of the mitotic cell division cycle by cells that were in a quiescent or other non-dividing state."	"CCND1,CCNF"
"GO:0000338"	10	"protein deneddylation"	"The removal of a ubiquitin-like protein of the NEDD8 type from a protein."	"COPS2,COPS3,COPS4,COPS6,COPS7A,COPS7B,COPS8,GPS1,J9NSW9,TOR1A"
"GO:0000349"	1	"generation of catalytic spliceosome for first transesterification step"	"Formation of a catalytic spliceosome complex ready to perform the first splicing reaction. This occurs by an ATP-dependent conformational change of the pre-catalytic spliceosome."	"YJU2"
"GO:0000350"	1	"generation of catalytic spliceosome for second transesterification step"	"Conformational rearrangement of the spliceosomal complex containing the RNA products from the 1st step of splicing to form the catalytic site for the second step of splicing."	"ISY1"
"GO:0000380"	8	"alternative mRNA splicing, via spliceosome"	"The process of generating multiple mRNA molecules from a given set of exons by differential use of exons from the primary transcript(s) to form multiple mature mRNAs that vary in their exon composition."	"CDK13,DDX5,DHX9,ESRP2,HNRNPM,PQBP1,SFSWAP,SLU7"
"GO:0000381"	24	"regulation of alternative mRNA splicing, via spliceosome"	"Any process that modulates the frequency, rate or extent of alternative splicing of nuclear mRNAs."	"CELF1,CELF4,DDX17,DDX5,FAM172A,HNRNPA1,HNRNPL,LOC100682676,MYOD1,NSRP1,PUF60,RBFOX1,RBFOX2,RBM10,RBM15,RBM5,RBM8A,RNPS1,SRRM4,SRSF12,SRSF2,SRSF6,THRAP3,ZBTB7A"
"GO:0000387"	17	"spliceosomal snRNP assembly"	"The aggregation, arrangement and bonding together of one or more snRNA and multiple protein components to form a ribonucleoprotein complex that is involved in formation of the spliceosome."	"A0A5F4C845,A0A5F4C9K1,A0A5F4CZQ0,AMDHD1,CLNS1A,F1PVT1,GEMIN5,J9NRX2,LOC100683542,LOC100685327,PRMT5,PRMT7,SMN1,SNRPB,SNRPC,SNRPE,SNRPG"
"GO:0000389"	1	"mRNA 3'-splice site recognition"	"Recognition of the intron 3'-splice site by components of the assembling U2- or U12-type spliceosome."	"SLU7"
"GO:0000390"	1	"spliceosomal complex disassembly"	"Disassembly of a spliceosomal complex with the ATP-dependent release of the product RNAs, one of which is composed of the joined exons. In cis splicing, the other product is the excised sequence, often a single intron, in a lariat structure."	"TFIP11"
"GO:0000395"	5	"mRNA 5'-splice site recognition"	"Recognition of the intron 5'-splice site by components of the assembling spliceosome."	"PSIP1,SFSWAP,SNRPC,SRSF1,SRSF12"
"GO:0000398"	43	"mRNA splicing, via spliceosome"	"The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced."	"A0A5F4CC78,A0A5F4CE92,A0A5F4CJP8,A0A5F4CS61,A0A5F4DBA6,AQR,BCAS2,CASC3,CDC40,CWC22,DHX16,EIF4A3,HTATSF1,IK,LOC478183,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,METTL14,PAXBP1,PHF5A,PPIE,PRPF38A,RBM8A,RBMX2,SF1,SF3B4,SMU1,SNIP1,SNRNP200,SNRNP25,SNW1,SRRM2,SYF2,TRA2A,TXNL4A,TXNL4B,U2AF1,U2AF2,XAB2"
"GO:0000413"	28	"protein peptidyl-prolyl isomerization"	"The modification of a protein by cis-trans isomerization of a proline residue."	"A0A5F4BV60,A0A5F4C3L1,A0A5F4C8K4,A0A5F4CCM1,A0A5F4CQ61,A0A5F4CU09,A0A5F4CU57,A0A5F4D498,AIP,AIPL1,FKBP10,FKBP11,FKBP15,FKBP2,FKBP3,FKBP6,FKBP7,FKBP9,J9NZU7,LOC100687619,LOC607841,NKTR,PIN1,PPIA,PPIL1,PPIL4,PTPA,RANBP2"
"GO:0000415"	1	"negative regulation of histone H3-K36 methylation"	"Any process that stops, prevents, or reduces the frequency, rate or extent of the covalent addition of a methyl group to the lysine at position 36 of histone H3."	"BCOR"
"GO:0000416"	1	"positive regulation of histone H3-K36 methylation"	"Any process that activates or increases the frequency, rate or extent of the covalent addition of a methyl group to the lysine at position 36 of histone H3."	"PAXIP1"
"GO:0000422"	5	"autophagy of mitochondrion"	"The autophagic process in which mitochondria are delivered to the vacuole and degraded in response to changing cellular conditions."	"ATG7,FBXO7,PINK1,RB1CC1,USP30"
"GO:0000423"	5	"mitophagy"	"Degradation of a mitochondrion by macroautophagy."	"BECN1,GBA,PHB2,PRKN,SQSTM1"
"GO:0000425"	1	"pexophagy"	"Degradation of a peroxisome by macroautophagy."	"PJVK"
"GO:0000432"	2	"positive regulation of transcription from RNA polymerase II promoter by glucose"	"Any process involving glucose that activates or increases the rate of transcription from an RNA polymerase II promoter."	"USF1,USF2"
"GO:0000435"	1	"positive regulation of transcription from RNA polymerase II promoter by galactose"	"Any process involving galactose that activates or increases the rate of transcription from an RNA polymerase II promoter."	"NCOA1"
"GO:0000453"	1	"enzyme-directed rRNA 2'-O-methylation"	"The addition of methyl groups to the 2'-oxygen atom of nucleotide residues in an rRNA molecule during ribosome biogenesis where the methylase specifies the site that becomes methylated without using a guide RNA."	"FTSJ3"
"GO:0000455"	2	"enzyme-directed rRNA pseudouridine synthesis"	"The intramolecular conversion of uridine to pseudouridine during ribosome biogenesis where the enzyme specifies the site that becomes pseudouridylated without using a guide RNA."	"DKC1,TSR3"
"GO:0000460"	3	"maturation of 5.8S rRNA"	"Any process involved in the maturation of a precursor 5.8S ribosomal RNA (rRNA) molecule into a mature 5.8S rRNA molecule."	"EXOSC10,EXOSC4,PRKDC"
"GO:0000462"	5	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	"Any process involved in the maturation of a precursor Small SubUnit (SSU) ribosomal RNA (rRNA) molecule into a mature SSU-rRNA molecule from the pre-rRNA molecule originally produced as a tricistronic rRNA transcript that contains the Small Subunit (SSU) rRNA, 5.8S rRNA, and the Large Subunit (LSU) in that order from 5' to 3' along the primary transcript."	"BYSL,ERCC2,FAM207A,GTF2H5,UTP6"
"GO:0000463"	2	"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	"Any process involved in the maturation of a precursor Large SubUnit (LSU) ribosomal RNA (rRNA) molecule into a mature LSU-rRNA molecule from the pre-rRNA molecule originally produced as a tricistronic rRNA transcript that contains the Small Subunit (SSU) rRNA, 5.8S rRNA, and Large Subunit (LSU) in that order from 5' to 3' along the primary transcript."	"GTPBP4,PES1"
"GO:0000466"	1	"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	"Any process involved in the maturation of an rRNA molecule originally produced as part of a tricistronic rRNA transcript that contained the Small SubUnit (SSU) rRNA, the 5.8S rRNA, and the Large SubUnit (LSU) rRNA, in that order, from 5' to 3' along the primary transcript."	"PES1"
"GO:0000469"	1	"cleavage involved in rRNA processing"	"Any phosphodiester bond hydrolysis involved in the conversion of a primary ribosomal RNA (rRNA) transcript into a mature rRNA molecule."	"RRP36"
"GO:0000470"	1	"maturation of LSU-rRNA"	"Any process involved in the maturation of a precursor Large SubUnit (LSU) ribosomal RNA (rRNA) molecule into a mature LSU-rRNA molecule."	"RPF2"
"GO:0000480"	1	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	"Endonucleolytic cleavage within the 5'-External Transcribed Spacer (ETS) of a tricistronic rRNA transcript that contains the Small Subunit (SSU) rRNA, the 5.8S rRNA, and the Large Subunit (LSU) rRNA in that order from 5' to 3' along the primary transcript. Endonucleolytic cleavage within the 5'-ETS of the pre-RNA is conserved as one of the early steps of rRNA processing in all eukaryotes, but the specific position of cleavage is variable."	"UTP23"
"GO:0000492"	2	"box C/D snoRNP assembly"	"The aggregation, arrangement and bonding together of proteins and a box C/D snoRNA to form a box C/D small nucleolar ribonucleoprotein (snoRNP) complex."	"C10H12orf45,ZNHIT6"
"GO:0000495"	1	"box H/ACA snoRNA 3'-end processing"	"Any process involved in forming the mature 3' end of a box H/ACA snoRNA molecule."	"PARN"
"GO:0000578"	3	"embryonic axis specification"	"The establishment, maintenance and elaboration of a pattern along a line or a point in an embryo."	"COBL,CTNNB1,WNT7A"
"GO:0000711"	3	"meiotic DNA repair synthesis"	"During meiosis, the synthesis of DNA proceeding from the broken 3' single-strand DNA end that uses the homologous intact duplex as the template."	"SPATA22,SYCP1,TEX12"
"GO:0000712"	7	"resolution of meiotic recombination intermediates"	"The cleavage and rejoining of intermediates, such as Holliday junctions, formed during meiotic recombination to produce two intact molecules in which genetic material has been exchanged."	"FANCM,HFM1,MEIOB,MLH1,PEX14,SHOC1,TEX11"
"GO:0000715"	2	"nucleotide-excision repair, DNA damage recognition"	"The identification of lesions in DNA, such as pyrimidine-dimers, intrastrand cross-links, and bulky adducts. The wide range of substrate specificity suggests the repair complex recognizes distortions in the DNA helix."	"RAD23B,XPC"
"GO:0000717"	1	"nucleotide-excision repair, DNA duplex unwinding"	"The unwinding, or local denaturation, of the DNA duplex to create a bubble around the site of the DNA damage."	"ERCC3"
